UIC;Gare enquêtée;Distance parcourue;Répartition;Année
300822;Belfort Montbéliard TGV;Moins de 2 km;37;2015
300822;Belfort Montbéliard TGV;02 à 04 km;6;2015
300822;Belfort Montbéliard TGV;08 à 10 km;5;2015
300822;Belfort Montbéliard TGV;30 à 50 km;5;2015
313874;Amiens;15 à 20 km;2;2015
313874;Amiens;02 à 04 km;1;2015
762906;Lyon Saint Exupery TGV;Moins de 2 km;1;2016
762906;Lyon Saint Exupery TGV;10 à 15 km;12;2016
757625;Cannes;02 à 04 km;5;2015
757625;Cannes;04 à 06 km;4;2015
757625;Cannes;08 à 10 km;10;2015
111849;Marne la Vallée Chessy;20 à 30 km;3;2013
111849;Marne la Vallée Chessy;08 à 10 km;3;2013
113001;Paris Est;Plus de 100 km;5;2012
118000;Troyes;Moins de 2 km;52;2015
113001;Paris Est;08 à 10 km;5;2012
113001;Paris Est;10 à 15 km;7;2012
118000;Troyes;15 à 20 km;3;2015
118000;Troyes;02 à 04 km;19;2015
;Paris Bercy;Plus de 100 km;4;2012
;Paris Bercy;30 à 50 km;2;2012
212027;Strasbourg;30 à 50 km;2;2016
182063;Mulhouse;04 à 06 km;5;2014
182063;Mulhouse;06 à 08 km;2;2014
182063;Mulhouse;10 à 15 km;3;2014
192039;Metz;Moins de 2 km;69;2016
182014;Colmar;20 à 30 km;5;2017
192039;Metz;30 à 50 km;5;2016
192039;Metz;04 à 06 km;3;2016
142109;Lorraine TGV;Moins de 2 km;0;2017
142109;Lorraine TGV;06 à 08 km;1;2017
182014;Colmar;02 à 04 km;1;2017
182014;Colmar;04 à 06 km;6;2017
171009;Reims;20 à 30 km;2;2016
171009;Reims;15 à 20 km;1;2016
171009;Reims;02 à 04 km;1;2016
171009;Reims;04 à 06 km;3;2016
171009;Reims;06 à 08 km;1;2016
171009;Reims;08 à 10 km;0;2016
113001;Paris Est;20 à 30 km;2;2012
118000;Troyes;06 à 08 km;2;2015
