"Commune","Departement","Region","Code_UIC","WGS_84"
"Grésy-sur-Isère","Savoie","Auvergne-Rhône-Alpes","741611","45.594432, 6.2588584"
"Peschadoires","Puy-de-Dôme","Auvergne-Rhône-Alpes","734459","45.8427833, 3.4903254"
"Épierre","Savoie","Auvergne-Rhône-Alpes","741280","45.457027, 6.292521"
"Chamousset","Savoie","Auvergne-Rhône-Alpes","741231","45.5575744, 6.2067432"
"Chindrieux","Savoie","Auvergne-Rhône-Alpes","741116","45.8034376, 5.8468876"
"Luc","Lozère","Occitanie","734368","44.654092, 3.8915631"
"Saint-Maurice-de-Beynost","Ain","Auvergne-Rhône-Alpes","723536","45.827421, 4.976986"
"Saint-Romain-le-Puy","Loire","Auvergne-Rhône-Alpes","726430","45.5545543, 4.1208275"
"Rillieux-la-Pape","Rhône","Auvergne-Rhône-Alpes","723700","45.820264, 4.875315"
"Sury-le-Comtal","Loire","Auvergne-Rhône-Alpes","726422","45.5291194, 4.1824904"
"Servas","Ain","Auvergne-Rhône-Alpes","723791","46.1306663, 5.1681312"
"Cessieu","Isère","Auvergne-Rhône-Alpes","723452","45.5611596, 5.3761179"
"Polliat","Ain","Auvergne-Rhône-Alpes","725846","46.24464, 5.1238268"
"Villefranche-sur-Saône","Rhône","Auvergne-Rhône-Alpes","721332","45.9845, 4.72077"
"Collonges-au-Mont-d'Or","Rhône","Auvergne-Rhône-Alpes","721225","45.8291102, 4.8466136"
"Saint-Victor-sur-Rhins","Loire","Auvergne-Rhône-Alpes","721043","46.0024781, 4.2810245"
"Arc-et-Senans","Doubs","Bourgogne-Franche-Comté","718841","47.0303516, 5.7767843"
"Albigny-sur-Saône","Rhône","Auvergne-Rhône-Alpes","721266","45.874921, 4.832874"
"Montbarrey","Jura","Bourgogne-Franche-Comté","718866","47.0359922, 5.6366081"
"Byans-sur-Doubs","Doubs","Bourgogne-Franche-Comté","718122","47.1185334, 5.8520589"
"Saint-Vit","Doubs","Bourgogne-Franche-Comté","718320","47.183507, 5.809057"
"Franois","Doubs","Bourgogne-Franche-Comté","718304","47.2273609, 5.937498"
"Liesle","Doubs","Bourgogne-Franche-Comté","718130","47.0587683, 5.8208121"
"Gilly-lès-Cîteaux","Côte-d'Or","Bourgogne-Franche-Comté","713511","47.1755556, 4.9715685"
"Saint-Julien","Côte-d'Or","Bourgogne-Franche-Comté","713834","47.4060132, 5.1281864"
"Brazey-en-Plaine","Côte-d'Or","Bourgogne-Franche-Comté","713644","47.1314549, 5.2121276"
"Rivière-Drugeon","Doubs","Bourgogne-Franche-Comté","715144","46.8701507, 6.2133331"
"Andelot-en-Montagne","Jura","Bourgogne-Franche-Comté","715102","46.8594671, 5.923584"
"Bretenière","Côte-d'Or","Bourgogne-Franche-Comté","713628","47.224035, 5.1045991"
"Gemeaux","Côte-d'Or","Bourgogne-Franche-Comté","713842","47.478542, 5.1293074"
"Auxonne","Côte-d'Or","Bourgogne-Franche-Comté","713347","47.192663, 5.37737"
"Beaune","Côte-d'Or","Bourgogne-Franche-Comté","713545","47.023053, 4.848379"
"Saint-Léger-sur-Dheune","Saône-et-Loire","Bourgogne-Franche-Comté","694364","46.8484526, 4.6286039"
"Coulanges-sur-Yonne","Yonne","Bourgogne-Franche-Comté","696831","47.5270546, 3.5472388"
"Charité-sur-Loire","Nièvre","Bourgogne-Franche-Comté","696195","47.179914, 3.023883"
"Laizy","Saône-et-Loire","Bourgogne-Franche-Comté","694596","46.9085776, 4.2069898"
"Montchanin","Saône-et-Loire","Bourgogne-Franche-Comté","694307","46.7592649, 4.4814867"
"Paris","Paris","Île-de-France","686006","48.844888, 2.37352"
"Fourchambault","Nièvre","Bourgogne-Franche-Comté","696229","47.0189684, 3.0873673"
"Digoin","Saône-et-Loire","Bourgogne-Franche-Comté","694695","46.4851604, 3.9876537"
"Clamecy","Nièvre","Bourgogne-Franche-Comté","696807","47.4666984, 3.5207672"
"Boigneville","Essonne","Île-de-France","684407","48.342078, 2.3789793"
"Besançon","Doubs","Bourgogne-Franche-Comté","718015","47.240372, 6.03391"
"Baume-les-Dames","Doubs","Bourgogne-Franche-Comté","718460","47.353937, 6.359603"
"Lons-le-Saunier","Jura","Bourgogne-Franche-Comté","718239","46.66858, 5.551108"
"Is-sur-Tille","Côte-d'Or","Bourgogne-Franche-Comté","713859","47.520454, 5.129481"
"Besançon","Doubs","Bourgogne-Franche-Comté","718007","47.247019, 6.022003"
"Saint-Amour","Jura","Bourgogne-Franche-Comté","718296","46.4338244, 5.3341853"
"Mervans","Saône-et-Loire","Bourgogne-Franche-Comté","713701","46.7988928, 5.1794099"
"Novillars","Doubs","Bourgogne-Franche-Comté","718411","47.2839618, 6.1327011"
"Valdahon","Doubs","Bourgogne-Franche-Comté","718601","47.1510452, 6.3148621"
"Poligny","Jura","Bourgogne-Franche-Comté","718189","46.8443393, 5.7001051"
"Gevrey-Chambertin","Côte-d'Or","Bourgogne-Franche-Comté","713503","47.2274694, 4.999058"
"Collonges-lès-Premières","Côte-d'Or","Bourgogne-Franche-Comté","713321","47.2212533, 5.2653478"
"Bretigny","Côte-d'Or","Bourgogne-Franche-Comté","712265","47.390044, 5.1105838"
"Nuits","Yonne","Bourgogne-Franche-Comté","713156","47.7291142, 4.211186"
"Dijon","Côte-d'Or","Bourgogne-Franche-Comté","713008","47.322806, 5.054872"
"Corgoloin","Côte-d'Or","Bourgogne-Franche-Comté","713537","47.0841982, 4.9171231"
"Mâlain","Côte-d'Or","Bourgogne-Franche-Comté","713065","47.3270025, 4.8105362"
"Aiserey","Côte-d'Or","Bourgogne-Franche-Comté","713636","47.170501, 5.1582447"
"Dijon","Côte-d'Or","Bourgogne-Franche-Comté","713040","47.32337, 5.027208"
"Genlis","Côte-d'Or","Bourgogne-Franche-Comté","713313","47.244579, 5.223406"
"Porté-Puymorens","Pyrénées-Orientales","Occitanie","611509","42.539136, 1.8248462"
"Portet-sur-Garonne","Haute-Garonne","Occitanie","611400","43.527904, 1.389243"
"Ville-Dieu-du-Temple","Tarn-et-Garonne","Occitanie","611459","44.0355186, 1.2149646"
"Vernet","Haute-Garonne","Occitanie","611392","43.433361, 1.426079"
