"Commune","Departement","Region","Code_UIC","WGS_84"
"Ligugé","Vienne","Nouvelle-Aquitaine","575274","46.5203091, 0.3331733"
"Vierzon","Cher","Centre-Val de Loire","576090","47.2099931, 2.0994545"
"Amboise","Indre-et-Loire","Centre-Val de Loire","574343","47.42148, 0.981299"
"Vallenay","Cher","Centre-Val de Loire","576306","46.8015763, 2.368638"
"Saint-Solve","Corrèze","Nouvelle-Aquitaine","594655","45.313078, 1.397515"
"Mansac","Corrèze","Nouvelle-Aquitaine","594416","45.139681, 1.3655086"
"Razac-sur-l'Isle","Dordogne","Nouvelle-Aquitaine","595223","45.1659287, 0.5992849"
"Périgueux","Dordogne","Nouvelle-Aquitaine","595009","45.187408, 0.707879"
"Neuvic","Dordogne","Nouvelle-Aquitaine","595272","45.0999632, 0.4450162"
"Biars-sur-Cère","Lot","Occitanie","594762","44.9273692, 1.8436871"
"Laval-de-Cère","Lot","Occitanie","594796","44.9512118, 1.9317113"
"Vigeois","Corrèze","Nouvelle-Aquitaine","594218","45.3829467, 1.5149455"
"Bétaille","Lot","Occitanie","594747","44.9424281, 1.7344108"
"Tulle","Corrèze","Nouvelle-Aquitaine","594499","45.258725, 1.756467"
"Paris","Paris","Île-de-France","547026","48.842285, 2.364891"
"Courçay","Indre-et-Loire","Centre-Val de Loire","571448","47.2377076, 0.867867"
"Paris","Paris","Île-de-France","547000","48.842285, 2.364891"
"Chambourg-sur-Indre","Indre-et-Loire","Centre-Val de Loire","571463","47.1821629, 0.9648363"
"Cormery","Indre-et-Loire","Centre-Val de Loire","571430","47.26254, 0.833953"
"Beaugency","Loiret","Centre-Val de Loire","574160","47.778365, 1.625938"
"Saint-Ay","Loiret","Centre-Val de Loire","574129","47.863133, 1.7499597"
"Loches","Indre-et-Loire","Centre-Val de Loire","571471","47.130464, 1.000467"
"Mer","Loir-et-Cher","Centre-Val de Loire","574194","47.70586, 1.506373"
"Thiais","Val-de-Marne","Île-de-France","546192","48.748163, 2.372792"
"Saint-Laurent-de-la-Prée","Charente-Maritime","Nouvelle-Aquitaine","485136","45.9930002, -1.0274305"
"Angoulins","Charente-Maritime","Nouvelle-Aquitaine","485102","46.108057, -1.1154503"
"Saint-Pol-sur-Ternoise","Pas-de-Calais","Hauts-de-France","342337","50.37913, 2.33939"
"Trith-Saint-Léger","Nord","Hauts-de-France","343210","50.33006, 3.50273"
"Camblain-Châtelain","Pas-de-Calais","Hauts-de-France","342550","50.4802048, 2.4310823"
"Calonne-Ricouart","Pas-de-Calais","Hauts-de-France","342543","50.4827036, 2.4812098"
"Marœuil","Pas-de-Calais","Hauts-de-France","342188","50.322603, 2.6983279"
"Tincques","Pas-de-Calais","Hauts-de-France","342303","50.35699, 2.4980285"
"Cuinchy","Pas-de-Calais","Hauts-de-France","342410","50.5219693, 2.7473533"
"Nœux-les-Mines","Pas-de-Calais","Hauts-de-France","342139","50.48297, 2.67393"
"Lillers","Pas-de-Calais","Hauts-de-France","342238","50.56163, 2.47903"
"Marles-les-Mines","Pas-de-Calais","Hauts-de-France","342535","50.5050115, 2.5171137"
"Biache-Saint-Vaast","Pas-de-Calais","Hauts-de-France","342097","50.3162525, 2.9414975"
"Vitry-en-Artois","Pas-de-Calais","Hauts-de-France","342113","50.3276092, 2.9820833"
"Dives-sur-Mer","Calvados","Normandie","337378","49.2910882, -0.1008455"
"Saint-Nazaire","Loire-Atlantique","Pays de la Loire","321745","47.2907444, -2.2008664"
"Tréport","Seine-Maritime","Normandie","317529","50.0628592, 1.3763738"
"Strasbourg","Bas-Rhin","Grand Est","338525","48.56358, 7.75259"
"Eu","Seine-Maritime","Normandie","317537","50.0541988, 1.416837"
"Roquebrune-Cap-Martin","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","338590","43.7543539, 7.4482077"
"Hirson","Aisne","Hauts-de-France","324335","49.9288321, 4.0861491"
"Auchy-lès-Hesdin","Pas-de-Calais","Hauts-de-France","317230","50.3963631, 2.1022448"
"Hesdigneul-lès-Boulogne","Pas-de-Calais","Hauts-de-France","317107","50.6609475, 1.6669967"
"Pihen-lès-Guînes","Pas-de-Calais","Hauts-de-France","316679","50.8727855, 1.7845632"
"Dreuil-lès-Amiens","Somme","Hauts-de-France","316075","49.91444, 2.23091"
"Brimeux","Pas-de-Calais","Hauts-de-France","317180","50.4470409, 1.8313826"
"Noyelles-sur-Mer","Somme","Hauts-de-France","317396","50.1875408, 1.7045772"
"Anvin","Pas-de-Calais","Hauts-de-France","317255","50.446845, 2.25494"
"Rue","Somme","Hauts-de-France","317404","50.27308, 1.6757"
"Saint-Michel-sur-Meurthe","Vosges","Grand Est","144683","48.3269843, 6.8882777"
"Coucy-lès-Eppes","Aisne","Hauts-de-France","171769","49.556282, 3.7748209"
"Montauban-de-Bretagne","Ille-et-Vilaine","Bretagne","159947","48.0429857, -1.7398306"
"Poix-Terron","Ardennes","Grand Est","172171","49.6500011, 4.6365346"
"Amifontaine","Aisne","Hauts-de-France","171744","49.4847322, 3.9105811"
"Deville","Ardennes","Grand Est","172064","49.8796028, 4.7072062"
"Sillery","Marne","Grand Est","171637","49.20324, 4.14427"
"Aÿ-Champagne","Marne","Grand Est","171561","49.0487318, 4.0015644"
"Prunay","Marne","Grand Est","171629","49.1988, 4.18364"
"Reims","Marne","Grand Est","171009","49.258978, 4.024435"
"Muhlbach-sur-Munster","Haut-Rhin","Grand Est","182733","48.0246077, 7.0875666"
"Hettange-Grande","Moselle","Grand Est","191163","49.4076754, 6.1566738"
"Staffelfelden","Haut-Rhin","Grand Est","182691","47.8279612, 7.2651657"
"Raedersheim","Haut-Rhin","Grand Est","182717","47.8869059, 7.2840467"
"Bollwiller","Haut-Rhin","Grand Est","182709","47.8569694, 7.2672555"
"Ébersviller","Moselle","Grand Est","191379","49.2747715, 6.4111622"
"Metzeral","Haut-Rhin","Grand Est","182816","48.0133301, 7.0733383"
"Kuntzig","Moselle","Grand Est","191312","49.349918, 6.2345596"
"Uckange","Moselle","Grand Est","191130","49.3032605, 6.1567735"
"Pierre-Bénite","Rhône","Auvergne-Rhône-Alpes","722231","45.7066772, 4.8245059"
"Sérézin-du-Rhône","Rhône","Auvergne-Rhône-Alpes","722546","45.62716, 4.81806"
"Lyon","Rhône","Auvergne-Rhône-Alpes","723197","45.760559, 4.859355"
"Oullins","Rhône","Auvergne-Rhône-Alpes","722207","45.7166261, 4.8135793"
"Lyon","Rhône","Auvergne-Rhône-Alpes","722025","45.748476, 4.825733"
"Saint-Ours","Puy-de-Dôme","Auvergne-Rhône-Alpes","641399","45.8337747, 2.9084747"
"Louroux-de-Bouble","Allier","Auvergne-Rhône-Alpes","641050","46.2241289, 2.9849368"
"Durtol","Puy-de-Dôme","Auvergne-Rhône-Alpes","641449","45.7947707, 3.048557"
"Neussargues en Pinatelle","Cantal","Auvergne-Rhône-Alpes","645507","45.1253044, 2.9791866"
"Villenouvelle","Haute-Garonne","Occitanie","618215","43.4330358, 1.661081"
"Montluçon","Allier","Auvergne-Rhône-Alpes","641191","46.3497686, 2.5918028"
"Rouget-Pers","Cantal","Auvergne-Rhône-Alpes","645192","44.8565391, 2.2355043"
"Montluçon","Allier","Auvergne-Rhône-Alpes","641001","46.338101, 2.596159"
"Commentry","Allier","Auvergne-Rhône-Alpes","641415","46.295102, 2.739949"
"Messeix","Puy-de-Dôme","Auvergne-Rhône-Alpes","641266","45.62749, 2.56043"
"Écuisses","Saône-et-Loire","Bourgogne-Franche-Comté","694109","46.765343, 4.499513"
"Saint-Symphorien-de-Marmagne","Saône-et-Loire","Bourgogne-Franche-Comté","694174","46.8442215, 4.3377542"
"Saint-Pierre-le-Moûtier","Nièvre","Bourgogne-Franche-Comté","696294","46.7932373, 3.1117427"
"Gilly-sur-Loire","Saône-et-Loire","Bourgogne-Franche-Comté","694869","46.5370137, 3.7821607"
"Saint-Agnan","Saône-et-Loire","Bourgogne-Franche-Comté","694851","46.5020038, 3.8788002"
"Cosne-Cours-sur-Loire","Nièvre","Bourgogne-Franche-Comté","696146","47.413996, 2.931981"
"Génelard","Saône-et-Loire","Bourgogne-Franche-Comté","694653","46.5812177, 4.2379965"
"Mesves-sur-Loire","Nièvre","Bourgogne-Franche-Comté","696187","47.2420755, 3.0065175"
"Broye","Saône-et-Loire","Bourgogne-Franche-Comté","694166","46.8619444, 4.2960996"
"Nevers","Nièvre","Bourgogne-Franche-Comté","696005","46.987282, 3.150743"
"Auxerre","Yonne","Bourgogne-Franche-Comté","683573","47.797645, 3.58514"
"Bazarnes","Yonne","Bourgogne-Franche-Comté","683649","47.6785079, 3.6811741"
"Fontenay-sur-Loing","Loiret","Centre-Val de Loire","684241","48.0964767, 2.7726332"
"Monéteau","Yonne","Bourgogne-Franche-Comté","683557","47.8507856, 3.5798071"
"Voutenay-sur-Cure","Yonne","Bourgogne-Franche-Comté","683706","47.5613477, 3.7803454"
"Joigny","Yonne","Bourgogne-Franche-Comté","683243","47.973843, 3.393082"
"Dordives","Loiret","Centre-Val de Loire","684233","48.1471796, 2.7628787"
"Samoreau","Seine-et-Marne","Île-de-France","682443","48.4305468, 2.7531008"
"Grande-Paroisse","Seine-et-Marne","Île-de-France","682476","48.3787751, 2.8971614"
"Héricy","Seine-et-Marne","Île-de-France","682435","48.4424848, 2.7605339"
"Saint-Laurent-en-Grandvaux","Jura","Bourgogne-Franche-Comté","715417","46.5747975, 5.9512119"
"Dannemarie-sur-Crète","Doubs","Bourgogne-Franche-Comté","718312","47.2038599, 5.8738348"
"Fontaines","Saône-et-Loire","Bourgogne-Franche-Comté","713586","46.8512109, 4.7750693"
"Roche-lez-Beaupré","Doubs","Bourgogne-Franche-Comté","718403","47.2762881, 6.1109651"
"Domblans","Jura","Bourgogne-Franche-Comté","718213","46.7627809, 5.5977462"
"Saint-Lothain","Jura","Bourgogne-Franche-Comté","718197","46.8231806, 5.6439849"
"Cousance","Jura","Bourgogne-Franche-Comté","718270","46.5353569, 5.3868216"
"Seurre","Côte-d'Or","Bourgogne-Franche-Comté","713677","46.9964114, 5.1513121"
"Laissey","Doubs","Bourgogne-Franche-Comté","718437","47.298723, 6.23304"
"Torpes","Doubs","Bourgogne-Franche-Comté","718114","47.1637546, 5.8887804"
"Saint-Vincent-de-Tyrosse","Landes","Nouvelle-Aquitaine","673277","43.657736, -1.306493"
"Hendaye","Pyrénées-Atlantiques","Nouvelle-Aquitaine","677104","43.3699568, -1.7643532"
"Buzy","Pyrénées-Atlantiques","Nouvelle-Aquitaine","672634","43.1482723, -0.4558864"
"Mont-de-Marsan","Landes","Nouvelle-Aquitaine","671016","43.884898, -0.50466"
"Itxassou","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673665","43.324043, -1.3956111"
"Peyrehorade","Landes","Nouvelle-Aquitaine","672337","43.5468102, -1.1157577"
"Puyoô","Pyrénées-Atlantiques","Nouvelle-Aquitaine","672279","43.5245425, -0.9108149"
"Orthez","Pyrénées-Atlantiques","Nouvelle-Aquitaine","672253","43.484242, -0.76776"
"Pau","Pyrénées-Atlantiques","Nouvelle-Aquitaine","672006","43.291762, -0.369626"
"Capvern","Hautes-Pyrénées","Occitanie","671156","43.1033454, 0.3296393"
"Montastruc-la-Conseillère","Haute-Garonne","Occitanie","615369","43.715985, 1.5979"
"Villefranche-de-Rouergue","Aveyron","Occitanie","613893","44.347498, 2.0364594"
"Fontanes","Lot","Occitanie","613323","44.3332389, 1.5116628"
"Castelnaudary","Aude","Occitanie","615039","43.312292, 1.95039"
"Caussade","Tarn-et-Garonne","Occitanie","613356","44.1622668, 1.5336541"
"Espéraza","Aude","Occitanie","615211","42.9359332, 2.2184029"
"Gragnague","Haute-Garonne","Occitanie","615377","43.696179, 1.567731"
"Albias","Tarn-et-Garonne","Occitanie","613398","44.0919078, 1.4448012"
"Varen","Tarn-et-Garonne","Occitanie","613489","44.1423958, 1.8851014"
"Aubin","Aveyron","Occitanie","613224","44.5272762, 2.2393128"
"Chantenay-Saint-Imbert","Nièvre","Bourgogne-Franche-Comté","696302","46.7283203, 3.1720842"
"Châtel-Censoir","Yonne","Bourgogne-Franche-Comté","696856","47.5377695, 3.6350455"
"Moulins","Allier","Auvergne-Rhône-Alpes","696328","46.561346, 3.338842"
"Lantenay","Côte-d'Or","Bourgogne-Franche-Comté","712323","47.3351085, 4.860963"
"Chaugey","Côte-d'Or","Bourgogne-Franche-Comté","712679","47.0872036, 5.2551914"
"Montbard","Côte-d'Or","Bourgogne-Franche-Comté","713131","47.618747, 4.33616"
"Dole","Jura","Bourgogne-Franche-Comté","713412","47.096084, 5.488105"
"Béard","Nièvre","Bourgogne-Franche-Comté","696468","46.8652207, 3.3179944"
"Imphy","Nièvre","Bourgogne-Franche-Comté","696450","46.9333537, 3.2597113"
"Decize","Nièvre","Bourgogne-Franche-Comté","696484","46.837362, 3.467274"
"Moret-Loing-et-Orvanne","Seine-et-Marne","Île-de-France","682278","48.37838, 2.79941"
"Savigny-le-Temple","Seine-et-Marne","Île-de-France","682187","48.595519, 2.583678"
"Ris-Orangis","Essonne","Île-de-France","681346","48.63626, 2.407736"
"Fontaine-le-Port","Seine-et-Marne","Île-de-France","682427","48.4871358, 2.7514043"
"Boussy-Saint-Antoine","Essonne","Île-de-France","682138","48.680893, 2.532726"
"Maisons-Alfort","Val-de-Marne","Île-de-France","681247","48.78934, 2.43148"
"Ballancourt-sur-Essonne","Essonne","Île-de-France","681437","48.532114, 2.371274"
"Mée-sur-Seine","Seine-et-Marne","Île-de-France","682179","48.540086, 2.624116"
"Villabé","Essonne","Île-de-France","681619","48.592637, 2.461572"
"Yerres","Essonne","Île-de-France","682112","48.706759, 2.48337"
"Rocamadour","Lot","Occitanie","613042","44.8183562, 1.6573487"
"Valence","Tarn-et-Garonne","Occitanie","611863","44.1117317, 0.8915743"
"Toulouse","Haute-Garonne","Occitanie","611947","43.6459862, 1.4286153"
"Montbartier","Tarn-et-Garonne","Occitanie","611699","43.9241555, 1.264501"
"Gimont","Gers","Occitanie","611772","43.6330525, 0.8676246"
"Saint-Jory","Haute-Garonne","Occitanie","611657","43.738375, 1.371619"
"Toulouse","Haute-Garonne","Occitanie","611301","43.579674, 1.450209"
"Baziège","Haute-Garonne","Occitanie","611723","43.4535696, 1.6205019"
"Assier","Lot","Occitanie","613075","44.6746197, 1.8697681"
"Foix","Ariège","Occitanie","611616","42.969746, 1.607147"
"Montauban","Tarn-et-Garonne","Occitanie","611244","44.014387, 1.341496"
"Hôpital-du-Grosbois","Doubs","Bourgogne-Franche-Comté","718528","47.1691016, 6.2130861"
"Marcilly-d'Azergues","Rhône","Auvergne-Rhône-Alpes","721415","45.8729618, 4.7252221"
"Étalans","Doubs","Bourgogne-Franche-Comté","718536","47.155884, 6.2706173"
"Lyon","Rhône","Auvergne-Rhône-Alpes","721159","45.76601, 4.827057"
"Jatxou","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673632","43.390897, -1.4446266"
"Grigny","Essonne","Île-de-France","681379","48.65343, 2.395797"
"Mennecy","Essonne","Île-de-France","681411","48.5709075, 2.433165"
"Migennes","Yonne","Bourgogne-Franche-Comté","683268","47.960998, 3.513191"
"Arcy-sur-Cure","Yonne","Bourgogne-Franche-Comté","683680","47.6008461, 3.7668885"
"Vermenton","Yonne","Bourgogne-Franche-Comté","683664","47.6605943, 3.7320212"
"Sens","Yonne","Bourgogne-Franche-Comté","683003","48.197856, 3.267833"
"Moissy-Cramayel","Seine-et-Marne","Île-de-France","682153","48.628305, 2.568935"
"Coudray-Montceaux","Essonne","Île-de-France","681635","48.5661679, 2.4924649"
"Boissise-le-Roi","Seine-et-Marne","Île-de-France","682518","48.529319, 2.572953"
"Saint-Fargeau-Ponthierry","Seine-et-Marne","Île-de-France","682542","48.564549, 2.542493"
"Bois-le-Roi","Seine-et-Marne","Île-de-France","682203","48.475567, 2.691606"
"Dammarie-les-Lys","Seine-et-Marne","Île-de-France","682500","48.5151115, 2.5991469"
"Montferrand-le-Château","Doubs","Bourgogne-Franche-Comté","718106","47.1847414, 5.9074815"
"Saint-Jean-de-Losne","Côte-d'Or","Bourgogne-Franche-Comté","713651","47.0997302, 5.2441226"
"Santenay","Côte-d'Or","Bourgogne-Franche-Comté","713594","46.9106752, 4.7017523"
"Velars-sur-Ouche","Côte-d'Or","Bourgogne-Franche-Comté","712331","47.3265197, 4.9274603"
"Pagny-le-Château","Côte-d'Or","Bourgogne-Franche-Comté","713669","47.0462492, 5.2010538"
"Tannay","Nièvre","Bourgogne-Franche-Comté","696633","47.3630583, 3.6149926"
"Cercy-la-Tour","Nièvre","Bourgogne-Franche-Comté","696492","46.8578816, 3.6452029"
"Hauts de Bienne","Jura","Bourgogne-Franche-Comté","715441","46.5262166, 6.023578"
"Saincaize-Meauce","Nièvre","Bourgogne-Franche-Comté","696260","46.9314165, 3.0718704"
"Ouges","Côte-d'Or","Bourgogne-Franche-Comté","712604","47.2559157, 5.0727895"
"Enveitg","Pyrénées-Orientales","Occitanie","611483","42.4590464, 1.9045027"
"Hospitalet-près-l'Andorre","Ariège","Occitanie","611517","42.5894535, 1.8002635"
"Fenouillet","Haute-Garonne","Occitanie","611962","43.6840517, 1.4018103"
"Tarascon-sur-Ariège","Ariège","Occitanie","611590","42.8495385, 1.5999321"
"Castelsarrasin","Tarn-et-Garonne","Occitanie","611897","44.0403503, 1.1143954"
"Toulouse","Haute-Garonne","Occitanie","611434","43.6638838, 1.4138687"
"Dieupentale","Tarn-et-Garonne","Occitanie","611681","43.8654687, 1.2760011"
"Toulouse","Haute-Garonne","Occitanie","612010","43.5734591, 1.4804356"
"Varilhes","Ariège","Occitanie","611327","43.0415593, 1.6284818"
"Labège","Haute-Garonne","Occitanie","612002","43.5473613, 1.5129784"
"Fleurieux-sur-l'Arbresle","Rhône","Auvergne-Rhône-Alpes","721563","45.8449944, 4.6603815"
"Belleville","Rhône","Auvergne-Rhône-Alpes","721357","46.111917, 4.729028"
"Orchamps","Jura","Bourgogne-Franche-Comté","718361","47.1500962, 5.659147"
"Valdahon","Doubs","Bourgogne-Franche-Comté","718544","47.14975, 6.342275"
"Dardilly","Rhône","Auvergne-Rhône-Alpes","721449","45.815143, 4.7613451"
"Ranchot","Jura","Bourgogne-Franche-Comté","718338","47.1525633, 5.7246607"
"Arbois","Jura","Bourgogne-Franche-Comté","718155","46.912509, 5.7648273"
"Deluz","Doubs","Bourgogne-Franche-Comté","718429","47.2925132, 6.199733"
"Tarare","Rhône","Auvergne-Rhône-Alpes","721472","45.889921, 4.439208"
"Anse","Rhône","Auvergne-Rhône-Alpes","721324","45.939304, 4.719807"
"Villefranche-de-Lauragais","Haute-Garonne","Occitanie","615013","43.398537, 1.714725"
"Salles-Courbatiès","Aveyron","Occitanie","613877","44.4751593, 2.0787662"
"Vielmur-sur-Agout","Tarn","Occitanie","615492","43.623928, 2.0895781"
"Pins-Justaret","Haute-Garonne","Occitanie","618116","43.479213, 1.399645"
"Albi","Tarn","Occitanie","615195","43.938011, 2.1409629"
"Gramat","Lot","Occitanie","613059","44.7734284, 1.7223028"
"Najac","Aveyron","Occitanie","613463","44.221802, 1.9761625"
"Cahors","Lot","Occitanie","613000","44.449275, 1.433325"
"Albi","Tarn","Occitanie","615005","43.92238, 2.137958"
"Tanus","Tarn","Occitanie","615674","44.1003384, 2.3151214"
"Cazères","Haute-Garonne","Occitanie","611079","43.212834, 1.083106"
"Saint-Pierre-la-Cour","Mayenne","Pays de la Loire","478768","48.1135968, -1.0252972"
"Mauves-sur-Loire","Loire-Atlantique","Pays de la Loire","481150","47.2930211, -1.3893042"
"Saint-Germain-sur-Ille","Ille-et-Vilaine","Bretagne","478016","48.2394802, -1.6541804"
"Saint-Médard-sur-Ille","Ille-et-Vilaine","Bretagne","478024","48.2742219, -1.6674886"
"Plouharnel","Morbihan","Bretagne","476416","47.6042943, -3.1184482"
"Dol-de-Bretagne","Ille-et-Vilaine","Bretagne","478073","48.54425, -1.750536"
"Fresnais","Ille-et-Vilaine","Bretagne","478081","48.593655, -1.8432199"
"Dinan","Côtes-d'Armor","Bretagne","478164","48.456764, -2.053542"
"Plouharnel","Morbihan","Bretagne","476267","47.5755984, -3.1324467"
"Saint-Pierre-Quiberon","Morbihan","Bretagne","476275","47.5465051, -3.133699"
"Saint-Nazaire","Loire-Atlantique","Pays de la Loire","481689","47.300426, -2.1932575"
"Batz-sur-Mer","Loire-Atlantique","Pays de la Loire","481770","47.2809541, -2.4789866"
"Pornichet","Loire-Atlantique","Pays de la Loire","481747","47.2705354, -2.3445765"
"Couëron","Loire-Atlantique","Pays de la Loire","481804","47.2220412, -1.7235014"
"Vertou","Loire-Atlantique","Pays de la Loire","481408","47.1861428, -1.4780052"
"Bouaye","Loire-Atlantique","Pays de la Loire","481200","47.1380806, -1.6810992"
"Montaigu","Vendée","Pays de la Loire","481465","46.983705, -1.316236"
"Oudon","Loire-Atlantique","Pays de la Loire","481184","47.3433655, -1.291992"
"Sucé-sur-Erdre","Loire-Atlantique","Pays de la Loire","590828","47.3431347, -1.5299873"
"Abbaretz","Loire-Atlantique","Pays de la Loire","481614","47.5546432, -1.5244159"
"Plourivo","Côtes-d'Armor","Bretagne","473876","48.7275919, -3.1284527"
"Plougonver","Côtes-d'Armor","Bretagne","473538","48.4584133, -3.3704584"
"Landivisiau","Finistère","Bretagne","474270","48.496002, -4.082181"
"Moustéru","Côtes-d'Armor","Bretagne","473512","48.5074512, -3.2435052"
"Landébia","Côtes-d'Armor","Bretagne","473264","48.5074212, -2.3313716"
"Landerneau","Finistère","Bretagne","474239","48.453572, -4.256528"
"Paimpol","Côtes-d'Armor","Bretagne","473868","48.77694, -3.0460958"
"Lannion","Côtes-d'Armor","Bretagne","473223","48.727638, -3.460353"
"Quimper","Finistère","Bretagne","474098","47.994455, -4.092103"
"Auray","Morbihan","Bretagne","476200","47.68022, -2.999995"
"Saint-Jacques-de-la-Lande","Ille-et-Vilaine","Bretagne","471052","48.0670983, -1.7142367"
"Toulouse","Haute-Garonne","Occitanie","446179","43.593438, 1.417986"
"Carantilly","Manche","Normandie","447144","49.06786, -1.2445285"
"Château-d'Almenêches","Orne","Normandie","444562","48.6647685, 0.1344097"
"Sées","Orne","Normandie","444695","48.5998998, 0.1661851"
"Lison","Calvados","Normandie","447219","49.226834, -1.050339"
"Guichen","Ille-et-Vilaine","Bretagne","471151","47.9350963, -1.7601845"
"Theil-de-Bretagne","Ille-et-Vilaine","Bretagne","471342","47.918742, -1.4319925"
"Noyal-sur-Vilaine","Ille-et-Vilaine","Bretagne","471540","48.1187915, -1.5277646"
"Guémené-Penfao","Loire-Atlantique","Pays de la Loire","471219","47.6988788, -1.8706374"
"Plénée-Jugon","Côtes-d'Armor","Bretagne","473082","48.376656, -2.3546108"
"Guingamp","Côtes-d'Armor","Bretagne","473207","48.555659, -3.143343"
"Laillé","Ille-et-Vilaine","Bretagne","471144","47.9717527, -1.7495654"
"Lamballe","Côtes-d'Armor","Bretagne","473108","48.46606, -2.511546"
"Caulnes","Côtes-d'Armor","Bretagne","473066","48.2844264, -2.155593"
"Broons","Côtes-d'Armor","Bretagne","473074","48.3332957, -2.2356578"
"Marsac-sur-l'Isle","Dordogne","Nouvelle-Aquitaine","595215","45.1839595, 0.628305"
"Négrondes","Dordogne","Nouvelle-Aquitaine","595132","45.3460288, 0.8611999"
"Saint-Aulaire","Corrèze","Nouvelle-Aquitaine","594622","45.2488414, 1.3986965"
"Agonac","Dordogne","Nouvelle-Aquitaine","595157","45.2865966, 0.7486706"
"Pont-Chrétien-Chabenet","Indre","Centre-Val de Loire","597112","46.6265259, 1.5076773"
"Reuilly","Indre","Centre-Val de Loire","597039","47.0853677, 2.0474783"
"Marsac-sur-l'Isle","Dordogne","Nouvelle-Aquitaine","595207","45.1860541, 0.6626174"
"Brive-la-Gaillarde","Corrèze","Nouvelle-Aquitaine","594002","45.152618, 1.528655"
"Terrasson-Lavilledieu","Dordogne","Nouvelle-Aquitaine","594408","45.1357901, 1.3004219"
"Saint-Victurnien","Haute-Vienne","Nouvelle-Aquitaine","592683","45.8765887, 1.0095737"
"Allassac","Corrèze","Nouvelle-Aquitaine","594234","45.2589385, 1.4731471"
"Varetz","Corrèze","Nouvelle-Aquitaine","594614","45.2157957, 1.4298135"
"Uzerche","Corrèze","Nouvelle-Aquitaine","594200","45.4407088, 1.5702735"
"Turenne","Corrèze","Nouvelle-Aquitaine","594556","45.0379541, 1.6007045"
"Cornil","Corrèze","Nouvelle-Aquitaine","594481","45.2151758, 1.6978482"
"Varetz","Corrèze","Nouvelle-Aquitaine","594606","45.1911631, 1.4472859"
"Larche","Corrèze","Nouvelle-Aquitaine","594424","45.1321707, 1.416143"
"Vendôme","Loir-et-Cher","Centre-Val de Loire","571216","47.821937, 1.021143"
"Saint-Antoine-du-Rocher","Indre-et-Loire","Centre-Val de Loire","571539","47.503839, 0.6164676"
"Mesves-sur-Loire","Nièvre","Bourgogne-Franche-Comté","559070","47.0068974, 3.1636746"
"Veuzain-sur-Loire","Loir-et-Cher","Centre-Val de Loire","574319","47.492, 1.18595"
"Croix-en-Touraine","Indre-et-Loire","Centre-Val de Loire","574475","47.3377228, 0.9877583"
"Château-Renault","Indre-et-Loire","Centre-Val de Loire","574665","47.5877961, 0.9015238"
"Rivarennes","Indre-et-Loire","Centre-Val de Loire","571653","47.2677425, 0.3618999"
"Chenonceaux","Indre-et-Loire","Centre-Val de Loire","574491","47.330554, 1.0661"
"Suèvres","Loir-et-Cher","Centre-Val de Loire","574236","47.6802248, 1.4540981"
"Antony","Hauts-de-Seine","Île-de-France","546317","48.748143, 2.3126207"
"Champtocé-sur-Loire","Maine-et-Loire","Pays de la Loire","484352","47.4102457, -0.8685747"
"Savennières","Maine-et-Loire","Pays de la Loire","484329","47.3817332, -0.6540004"
"Briollay","Maine-et-Loire","Pays de la Loire","484139","47.5739696, -0.4829396"
"Rochelle","Charente-Maritime","Nouvelle-Aquitaine","485003","46.15269, -1.145305"
"Possonnière","Maine-et-Loire","Pays de la Loire","484337","47.3713848, -0.6917009"
"Pouliguen","Loire-Atlantique","Pays de la Loire","481762","47.2825404, -2.4331446"
"Donges","Loire-Atlantique","Pays de la Loire","481721","47.3086552, -2.0719096"
"Tiercé","Maine-et-Loire","Pays de la Loire","484147","47.617532, -0.469347"
"Saint-Gildas-des-Bois","Loire-Atlantique","Pays de la Loire","476762","47.516614, -2.0438923"
"Moutiers-en-Retz","Loire-Atlantique","Pays de la Loire","481259","47.0618983, -2.0009628"
"Sainte-Pazanne","Loire-Atlantique","Pays de la Loire","481226","47.1055419, -1.8138744"
"Châteaubriant","Loire-Atlantique","Pays de la Loire","481648","47.7175212, -1.3715152"
"Thouaré-sur-Loire","Loire-Atlantique","Pays de la Loire","481143","47.2651143, -1.4409626"
"Louverné","Mayenne","Pays de la Loire","478511","48.1088564, -0.7144109"
"Gorges","Loire-Atlantique","Pays de la Loire","481432","47.1001487, -1.3058778"
"Pallet","Loire-Atlantique","Pays de la Loire","481424","47.143831, -1.346898"
"Combourg","Ille-et-Vilaine","Bretagne","478057","48.41609, -1.72792"
"Saint-Aubin-des-Bois","Eure-et-Loir","Centre-Val de Loire","394213","48.4476422, 1.3318387"
"Saint-Gervais-en-Belin","Sarthe","Pays de la Loire","396556","47.8740074, 0.2172097"
"Clermont-Ferrand","Puy-de-Dôme","Auvergne-Rhône-Alpes","396895","45.7680954, 3.0909704"
"Courville-sur-Eure","Eure-et-Loir","Centre-Val de Loire","394221","48.451236, 1.234836"
"Illiers-Combray","Eure-et-Loir","Centre-Val de Loire","394437","48.303937, 1.2448745"
"Montigny-le-Bretonneux","Yvelines","Île-de-France","393843","48.78657, 2.04523"
