"Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Commune","Departement","Region","WGS_84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"726000","Saint-Étienne Châteaucreux","3853846","3471228","Saint-Étienne","Loire","Auvergne-Rhône-Alpes","45.443366, 4.399722","6.83","7.64","7.37","6.46","7.46","","168","79","83","5","","","","","","","","","","","","","","","","","","","","","","true","89.9","0","3","1","0"
"171009","Reims","3731555","3817198","Reims","Marne","Grand Est","49.258978, 4.024435","7.52","8.08","7.68","7.31","7.72","2.476271186440678","165","75","62","3","3","41","25","14","17","23.1","24.9","14.3","14.9","13","9.75","0","3","15","44","0","1","17","11","7","1","true","98.9","1","2","0","0"
"318964","Avignon TGV","3678716","4244310","Avignon","Vaucluse","Provence-Alpes-Côte d'Azur","43.921586, 4.786079","7.00","8.29","7.98","7.47","7.72","6.323728813559322","496","166","411","20","","","","","","5.8","21.1","16.5","16","16.3","24.2","1","4","16","2","0","7","0","19","51","0","true","95.5","1","3","0","1"
"741009","Chambéry Challes les Eaux","3604056","3807875","Chambéry","Savoie","Auvergne-Rhône-Alpes","45.571302, 5.919547","7.64","7.58","7.71","7.33","7.82","","193","100","109","4","","","","","","","","","","","","","","","","","","","","","","true","93.8","1","0","0","0"
"734004","Clermont Ferrand","3505900","3714623","Clermont-Ferrand","Puy-de-Dôme","Auvergne-Rhône-Alpes","45.778945, 3.100543","6.92","7.56","7.3","6.36","7.87","","357","71","64","9","","","","","","","","","","","","","","","","","","","","","","true","92.6","","","",""
"182014","Colmar","3500569","3646561","Colmar","Haut-Rhin","Grand Est","48.073201, 7.346967","7.28","7.54","7.54","6.5","7.33","4.008474576271187","89","137","26","12","3","39","23","13","21","35.9","25.3","9.81","9.79","11.4","7.74","0","1","20","40","0","0","0","18","14","6","true","96.4","","","",""
"543009","Orléans","3419367","3553105","Orléans","Loiret","Centre-Val de Loire","47.90796, 1.904666","6.87","7.72","7.21","7.34","7.28","","246","91","58","9","","","","","","","","","","","","","","","","","","","","","","true","94.2","1","3","0","0"
"755009","Toulon","3378984","3344004","Toulon","Var","Provence-Alpes-Côte d'Azur","43.12837, 5.929293","7.2","7.7","7.59","7.71","7.62","3.3322033898305086","409","146","297","10","3","15","16","11","56","16.2","29","14","10.9","11.1","18.8","1","1","23","30","0","4","0","10","30","1","true","93.1","1","0","0","0"
"319012","Aix en Provence-TGV","3297316","3611440","Aix-en-Provence","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","43.455237, 5.317534","7.66","8.00","7.97","7.64","7.95","8.857627118644068","397","160","302","8","","","","","","2.23","17.6","18.6","17","18.9","25.7","0","7","20","0","0","6","0","33","34","0","true","88.2","1","0","1","1"
"757625","Cannes","3180933","3279478","Cannes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","43.553839, 7.019682","6.62","7.8","7.41","7.34","6.55","1.7186440677966102","312","72","262","10","4","29","31","5","32","31.2","19.1","9.81","12.5","7.73","19.7","0","0","20","62","0","1","0","3","14","0","true","83.6","1","0","0","0"
"571240","Saint-Pierre des Corps","3064214","3557561","Saint-Pierre-des-Corps","Indre-et-Loire","Centre-Val de Loire","47.386099, 0.72355","7.72","7.5","7.02","7.1","7.63","","789","289","257","38","","","","","","","","","","","","","","","","","","","","","","true","97.9","0","0","0","2"
"343004","Valenciennes","3050787","3144318","Valenciennes","Nord","Hauts-de-France","50.363259, 3.517115","7.1","7.75","7.29","7.25","7.61","","65","50","19","0","","","","","","","","","","","","","","","","","","","","","","true","97.4","1","0","0","0"
"444000","Caen","3043126","3223446","Caen","Calvados","Normandie","49.176354, -0.347613","7.01","7.85","6.79","6.62","7.01","3.8389830508474576","314","127","94","10","4","45","17","12","22","19.2","24.7","16","11.4","16.3","11.9","0","0","12","14","0","1","30","20","21","2","true","","","","",""
"575001","Poitiers","2875760","2949849","Poitiers","Vienne","Nouvelle-Aquitaine","46.582275, 0.333241","6.84","7.66","7.47","7.01","7.12","5.272881355932204","449","181","173","13","4","24","12","31","29","17.4","26.8","13.1","15.1","13.8","13.8","1","3","24","28","0","3","0","18","23","0","true","96.2","1","2","0","0"
"345009","Douai","2825738","2857231","Douai","Nord","Hauts-de-France","50.371677, 3.089986","7.28","7.83","7.73","7.51","8.06","","88","58","26","1","","","","","","","","","","","","","","","","","","","","","","true","93","1","0","0","0"
"191007","Thionville","2741451","2763231","Thionville","Moselle","Grand Est","49.353931, 6.169543","7.27","7.96","7.31","6.8","7.16","","41","47","19","0","","","","","","","","","","","","","","","","","","","","","","true","97.5","","","",""
"763029","Valence TGV Rhône-Alpes Sud","2553424","3290657","Alixan","Drôme","Auvergne-Rhône-Alpes","44.991545, 4.978703","7.36","8.12","8.01","7.22","7.68","8.505084745762712","539","176","223","9","1","9","4","46","39","3.21","19.7","17.8","20.3","19.4","19.6","0","5","9","4","0","4","0","38","38","1","true","88.8","1","0","1","0"
"276691","Compiègne","2253905","2303690","Compiègne","Oise","Hauts-de-France","49.422005, 2.823679","7.02","7.4","6.91","6.15","7.54","","17","6","3","0","","","","","","","","","","","","","","","","","","","","","","true","94.2","0","2","0","0"
"746008","Annecy","2227568","2262889","Annecy","Haute-Savoie","Auvergne-Rhône-Alpes","45.901965, 6.121835","7.06","8.03","7.68","7.26","7.77","","121","76","79","3","","","","","","","","","","","","","","","","","","","","","","true","92.5","1","0","0","0"
"718007","Besançon-Viotte","2019431","2118245","Besançon","Doubs","Bourgogne-Franche-Comté","47.247019, 6.022003","7.91","8.07","7.94","8.03","7.78","2.3372881355932202","134","120","26","0","4","40","21","21","15","0","0","0","0","0","0","0","1","32","36","0","2","0","9","15","5","true","94.1","1","0","0","0"
"393702","Massy TGV","2013034","1906692","Massy","Essonne","Île-de-France","48.725758, 2.261254","6.9","7.19","6.98","6.5","6.69","4.874576271186441","257","114","175","5","0","8","1","62","29","5.08","21.9","19.3","21.1","21.2","10.1","0","0","20","12","22","10","0","36","0","0","true","96.8","1","2","0","1"
"784009","Perpignan","1948294","1655190","Perpignan","Pyrénées-Orientales","Occitanie","42.696292, 2.879779","7.5","7.63","7.69","7.31","7.54","3.6440677966101696","202","105","114","4","6","22","8","17","47","21.9","18.9","7.79","14.5","14.9","22","1","1","21","32","0","3","0","14","27","1","true","96.8","0","0","0","1"
"485003","La Rochelle","1785041","1885458","Rochelle","Charente-Maritime","Nouvelle-Aquitaine","46.15269, -1.145305","7.14","8.07","7.6","7.51","7.36","","199","95","136","9","","","","","","","","","","","","","","","","","","","","","","true","94.6","0","2","1","0"
"743005","Bourg en Bresse","1715679","1768560","Bourg-en-Bresse","Ain","Auvergne-Rhône-Alpes","46.200351, 5.215063","7.54","8.35","7.67","7.15","7.93","","116","53","47","2","","","","","","","","","","","","","","","","","","","","","","true","88.5","1","0","0","0"
"281006","Dunkerque","1652728","1727625","Dunkerque","Nord","Hauts-de-France","51.03047, 2.368961","7.72","8.08","7.72","7.81","8.29","","105","67","20","1","","","","","","","","","","","","","","","","","","","","","","true","94.2","","","",""
"583005","Angoulême","1646983","1606006","Angoulême","Charente","Nouvelle-Aquitaine","45.653572, 0.164608","6.99","7.51","7.14","6.83","5.37","3.588135593220339","306","85","152","10","0","19","20","16","45","18.1","25.5","13.9","11.7","11.3","17","0","4","24","16","0","4","0","15","37","0","true","91.4","","","",""
"474007","Brest","1634475","1618007","Brest","Finistère","Bretagne","48.38811, -4.478903","7.4","8.22","7.6","7.33","7.73","","129","81","88","0","","","","","","","","","","","","","","","","","","","","","","true","94.7","1","0","0","1"
"757674","Antibes","1622742","1760924","Antibes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","43.585784, 7.119498","6.82","6.68","5.49","5.63","6.43","","165","35","108","4","","","","","","","","","","","","","","","","","","","","","","true","90.5","","","",""
"592006","Limoges Bénédictins","1610599","1665153","Limoges","Haute-Vienne","Nouvelle-Aquitaine","45.836089, 1.267356","7.22","8.47","7.56","7.53","7.55","","383","88","77","10","","","","","","","","","","","","","","","","","","","","","","true","95.7","1","2","1","0"
"413013","Le Havre","1600943","1729425","Havre","Seine-Maritime","Normandie","49.492996, 0.125677","7.15","7.82","7.00","7.03","7.67","","53","49","49","2","","","","","","","","","","","","","","","","","","","","","","true","97.8","1","2","0","0"
"543017","Les Aubrais Orléans","1594515","1672168","Fleury-les-Aubrais","Loiret","Centre-Val de Loire","47.926801, 1.906629","7.46","7.8","7.51","7.63","7.52","","141","29","30","2","","","","","","","","","","","","","","","","","","","","","","true","93.1","1","0","0","0"
"345025","Lens","1581057","1564829","Lens","Pas-de-Calais","Hauts-de-France","50.426818, 2.828254","7.53","8.05","7.5","7.42","8.31","2.0050847457627117","17","23","6","4","3","40","28","5","23","25.4","30.1","16.9","11.2","9.51","6.96","0","2","33","32","0","2","0","12","18","1","true","92.7","0","0","1","0"
"781104","Narbonne","1515883","1364030","Narbonne","Aude","Occitanie","43.190387, 3.00591","6.95","7.28","7.22","6.71","7.29","","312","74","110","4","","","","","","","","","","","","","","","","","","","","","","true","93.4","","","",""
"574004","Blois","1466599","1510967","Blois","Loir-et-Cher","Centre-Val de Loire","47.585445, 1.323823","6.94","7.83","7.14","7.07","7.66","","96","22","40","10","","","","","","","","","","","","","","","","","","","","","","true","92.9","","","",""
"781005","Béziers","1387028","1266592","Béziers","Hérault","Occitanie","43.33633, 3.218873","5.66","8.24","6.79","6.07","6.1","","205","63","92","3","","","","","","","","","","","","","","","","","","","","","","true","96.9","","","",""
"476606","Vannes","1328851","1317075","Vannes","Morbihan","Bretagne","47.665169, -2.75245","7.23","7.84","7.56","7.12","7.48","","149","63","85","2","","","","","","","","","","","","","","","","","","","","","","true","92.7","1","0","0","0"
"741132","Aix les Bains le Revard","1283506","1295561","Aix-les-Bains","Savoie","Auvergne-Rhône-Alpes","45.688161, 5.909371","7.17","8.32","7.63","7.33","7.8","","61","36","33","3","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"725002","Chalon sur Saône","1264996","1389893","Chalon-sur-Saône","Saône-et-Loire","Bourgogne-Franche-Comté","46.781612, 4.843454","7.37","8.02","7.19","7.5","7.66","","159","27","16","1","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"745000","Bellegarde","1256178","1197657","Bellegarde-sur-Valserine","Ain","Auvergne-Rhône-Alpes","46.109425, 5.823483","7.28","8.17","7.95","7.58","7.81","","174","58","74","3","","","","","","","","","","","","","","","","","","","","","","true","97.3","1","0","0","0"
"485300","NIORT","1249055","1203244","Niort","Deux-Sèvres","Nouvelle-Aquitaine","46.319491, -0.454639","7.01","7.75","7.25","6.91","7.52","","84","34","49","5","","","","","","","","","","","","","","","","","","","","","","true","97.2","0","1","0","0"
"584052","Libourne","1241747","1283954","Libourne","Gironde","Nouvelle-Aquitaine","44.915888, -0.236344","6.58","7.56","7.24","6.95","7.78","","78","15","18","3","","","","","","","","","","","","","","","","","","","","","","true","98.7","","","",""
"762906","Lyon Saint-Exupéry TGV","1239397","1264521","Colombier-Saugnieu","Rhône","Auvergne-Rhône-Alpes","45.721109, 5.074969","7.45","8.57","8.12","7.46","7.96","16.776271186440677","37","54","27","3","1","13","0","38","47","2.8","28","21.5","21.4","16.3","10","0","7","5","1","0","3","22","38","23","0","true","89.8","1","3","1","1"
"478404","Laval","1232614","1202464","Laval","Mayenne","Pays de la Loire","48.076206, -0.760907","6.65","7.2","6.98","6.04","7.05","3.1372881355932205","184","46","38","6","3","37","12","18","29","11.2","23.9","16.1","15.2","14.6","19","1","0","11","27","0","7","0","25","29","2","false","94.4","1","0","0","0"
"473009","Saint-Brieuc","1226890","1204510","Saint-Brieuc","Côtes-d'Armor","Bretagne","48.50758, -2.765","6.7","7.39","6.84","6.1","6.63","","161","39","63","1","","","","","","","","","","","","","","","","","","","","","","false","89.4","0","1","1","1"
"732008","Vichy","1191888","1239031","Vichy","Allier","Auvergne-Rhône-Alpes","46.126979, 3.430448","7.64","8.42","7.93","7.19","8.35","","129","24","34","2","","","","","","","","","","","","","","","","","","","","","","true","96.3","1","0","0","0"
"476002","Lorient","1160906","1176421","Lorient","Morbihan","Bretagne","47.755597, -3.366221","7.04","7.06","6.8","6.3","7.12","1.264406779661017","112","99","59","3","2","24","15","30","28","18.3","21.6","14.8","15.3","13.8","16.3","1","1","30","27","0","4","0","9","22","5","true","80.2","1","1","0","0"
"586008","Agen","1106478","1158742","Agen","Lot-et-Garonne","Nouvelle-Aquitaine","44.208311, 0.620932","6.64","7.68","7.42","6.52","7.75","","168","76","70","6","","","","","","","","","","","","","","","","","","","","","","true","98.5","1","0","0","0"
"172007","Charlevilles Mézières","1091493","1165004","Charleville-Mézières","Ardennes","Grand Est","49.767915, 4.724952","7.51","8.23","7.61","7.85","7.89","","52","38","35","1","","","","","","","","","","","","","","","","","","","","","","true","97.2","1","0","0","0"
"478107","Saint-Malo","1090420","1090006","Saint-Malo","Ille-et-Vilaine","Bretagne","48.646859, -2.004158","7.43","8.04","7.54","7.21","7.27","","97","57","64","0","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"387001","Evreux Normandie","1084619","1113650","Évreux","Eure","Normandie","49.018748, 1.149629","6.66","7.34","7.29","6.69","7.21","","51","34","9","1","","","","","","","","","","","","","","","","","","","","","","true","92.1","0","0","1","0"
"611244","Montauban Ville Bourbon","1073433","1087141","Montauban","Tarn-et-Garonne","Occitanie","44.014387, 1.341496","7.22","7.78","6.64","6.47","7.35","","90","40","30","2","","","","","","","","","","","","","","","","","","","","","","false","94.1","1","0","0","0"
"444265","Lisieux","1066761","1064978","Lisieux","Calvados","Normandie","49.138299, 0.231143","7.06","7.24","6.92","6.58","7.61","","72","31","47","10","","","","","","","","","","","","","","","","","","","","","","true","","0","0","1","0"
"773200","Sète","1059750","1034027","Sète","Hérault","Occitanie","43.412485, 3.69656","7.3","7.36","7.2","7.2","7.39","","95","22","49","2","","","","","","","","","","","","","","","","","","","","","","true","93.4","","","",""
"474098","Quimper","1054026","908486","Quimper","Finistère","Bretagne","47.994455, -4.092103","7.74","7.83","7.93","7.68","7.85","","183","73","97","8","","","","","","","","","","","","","","","","","","","","","","true","98.6","0","0","0","1"
"184002","Belfort","1052682","1149902","Belfort","Territoire de Belfort","Bourgogne-Franche-Comté","47.633284, 6.853956","6.83","7.41","6.87","6.73","7.6","","47","44","10","0","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"757526","Saint-Raphaël Valescure","1048552","1084720","Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","43.42356, 6.769083","6.1","6.78","6.39","6.24","6.43","","132","41","121","6","","","","","","","","","","","","","","","","","","","","","","true","88.7","","","",""
"764001","Montélimar","973907","922721","Montélimar","Drôme","Auvergne-Rhône-Alpes","44.559079, 4.744792","7.5","8.07","8.1","7.37","7.67","","97","46","40","2","","","","","","","","","","","","","","","","","","","","","","true","89.8","","","",""
"118000","Troyes","945961","975356","Troyes","Aube","Grand Est","48.296069, 4.065281","6.96","7.4","7.06","7.16","7.29","3.26271186440678","31","13","20","0","5","41","14","18","21","19.9","24.7","13.6","16.4","14.9","10.4","0","0","14","32","0","0","0","20","32","1","true","96.1","","","",""
"481705","Saint-Nazaire","853503","882921","Saint-Nazaire","Loire-Atlantique","Pays de la Loire","47.286412, -2.211096","6.82","7.67","7.21","6.78","7.7","","75","37","46","2","","","","","","","","","","","","","","","","","","","","","","true","95.5","","","",""
"486019","La Roche sur Yon","851971","881434","Roche-sur-Yon","Vendée","Pays de la Loire","46.67212, -1.435621","6.68","8.1","7.83","7.16","7.42","","94","11","26","3","","","","","","","","","","","","","","","","","","","","","","true","96","0","0","1","1"
