"Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Code_UIC"
"Mandelieu-la-Napoule","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","6.941313","43.523903","757591"
"Saint-Hilaire-du-Rosier","Isère","Auvergne-Rhône-Alpes","5.243851","45.0713405","761684"
"Romans-sur-Isère","Drôme","Auvergne-Rhône-Alpes","5.049800","45.048857","761650"
"Saint-Rambert-d'Albon","Drôme","Auvergne-Rhône-Alpes","4.810849","45.297797","761106"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.3927456","43.3309989","759290"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","6.9243444","43.4746639","757575"
"Livron-sur-Drôme","Drôme","Auvergne-Rhône-Alpes","4.8305412","44.7796035","761247"
"Crest","Drôme","Auvergne-Rhône-Alpes","5.0160968","44.7301546","761783"
"Poliénas","Isère","Auvergne-Rhône-Alpes","5.4735849","45.256006","761742"
"Vinay","Isère","Auvergne-Rhône-Alpes","5.41005","45.20797","761726"
"Roquebrune-Cap-Martin","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.457343","43.7606178","756460"
"Peillon","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.366807","43.767846","756783"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.3114604","43.7427854","756767"
"Arcs","Var","Provence-Alpes-Côte d'Azur","6.482498","43.455524","755447"
"Cuers","Var","Provence-Alpes-Côte d'Azur","6.0856855","43.2364281","755355"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","6.8442467","43.4178193","757542"
"Peille","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.3800257","43.7920239","756791"
"Vidauban","Var","Provence-Alpes-Côte d'Azur","6.4338501","43.4309416","755421"
"Pignans","Var","Provence-Alpes-Côte d'Azur","6.2248459","43.298475","755389"
"Fréjus","Var","Provence-Alpes-Côte d'Azur","6.7551022","43.4288632","757518"
"Manosque","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur","5.7933241","43.8231945","751321"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.3025298","43.7343716","751529"
"Gières","Isère","Auvergne-Rhône-Alpes","5.784740","45.184877","747402"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","6.9264844","45.9819438","746859"
"Meyrargues","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.5395738","43.6440076","751370"
"Vallorcine","Haute-Savoie","Auvergne-Rhône-Alpes","6.9204119","46.018805","746883"
"Clelles","Isère","Auvergne-Rhône-Alpes","5.6050622","44.8272443","747626"
"Grenoble","Isère","Auvergne-Rhône-Alpes","5.714584","45.191493","747006"
"Argentière-la-Bessée","Hautes-Alpes","Provence-Alpes-Côte d'Azur","6.5564162","44.7909802","763557"
"Eygliers","Hautes-Alpes","Provence-Alpes-Côte d'Azur","6.6156027","44.6746283","763508"
"Fons","Gard","Occitanie","4.2066687","43.9073195","775379"
"Pierrelatte","Drôme","Auvergne-Rhône-Alpes","4.703783","44.374719","764308"
"Saint-Aunès","Hérault","Occitanie","3.9628994","43.6354383","773465"
"Donzère","Drôme","Auvergne-Rhône-Alpes","4.7046262","44.4433646","764290"
"Villefort","Lozère","Occitanie","3.9240146","44.4395099","775197"
"Grand-Combe","Gard","Occitanie","4.0102736","44.228602","775247"
"Génolhac","Gard","Occitanie","3.9516407","44.3471626","775213"
"Uchaud","Gard","Occitanie","4.2683101","43.7583991","775106"
"Saint-Georges-de-Luzençon","Aveyron","Occitanie","2.983784","44.066553","783423"
"Saint-Féliu-d'Avall","Pyrénées-Orientales","Occitanie","2.7378217","42.6772874","784520"
"Tournemire","Aveyron","Occitanie","3.0166261","43.9698002","783456"
"Port-la-Nouvelle","Aude","Occitanie","3.0388188","43.0199342","781062"
"Peyre en Aubrac","Lozère","Occitanie","3.2835489","44.7181699","783266"
"Rivesaltes","Pyrénées-Orientales","Occitanie","2.86789","42.7664405","784173"
"Serdinya","Pyrénées-Orientales","Occitanie","2.3111464","42.5615245","784710"
"Cailar","Gard","Occitanie","4.2354236","43.6834141","775825"
"Vauvert","Gard","Occitanie","4.270165","43.6950375","775817"
"Coursan","Aude","Occitanie","3.0510465","43.23369","781161"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.390412","43.3392414","751842"
"Garde","Var","Provence-Alpes-Côte d'Azur","6.0351027","43.1364769","755314"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.3213598","43.363628","751602"
"Martigues","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.0257804","43.3929209","753509"
"Solliès-Pont","Var","Provence-Alpes-Côte d'Azur","6.0464158","43.1907805","755330"
"Ciotat","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.632647","43.199593","751784"
"Miramas","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.000264","43.580704","753004"
"Sénas","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.0733645","43.7409571","753715"
"Saint-Gervais-les-Bains","Haute-Savoie","Auvergne-Rhône-Alpes","6.701331","45.906423","746479"
"Saint-Martin-du-Mont","Ain","Auvergne-Rhône-Alpes","5.303003","46.095871","743112"
"Évian-les-Bains","Haute-Savoie","Auvergne-Rhône-Alpes","6.577457","46.397915","745679"
"Houches","Haute-Savoie","Auvergne-Rhône-Alpes","6.796924","45.8935639","746743"
"Corbonod","Ain","Auvergne-Rhône-Alpes","5.8315162","45.9630307","745828"
"Pougny","Ain","Auvergne-Rhône-Alpes","5.9613614","46.1446674","745380"
"Bolozon","Ain","Auvergne-Rhône-Alpes","5.4540677","46.2134803","743344"
"Ceyzériat","Ain","Auvergne-Rhône-Alpes","5.3258417","46.1834877","743302"
"Noirétable","Loire","Auvergne-Rhône-Alpes","3.7611423","45.816024","734509"
"Beauzac","Haute-Loire","Auvergne-Rhône-Alpes","3.9186273","45.1488794","734715"
"Saint-Michel-de-Maurienne","Savoie","Auvergne-Rhône-Alpes","6.4719135","45.216916","742361"
"Aix-les-Bains","Savoie","Auvergne-Rhône-Alpes","5.909371","45.688161","741132"
"Grésy-sur-Isère","Savoie","Auvergne-Rhône-Alpes","6.2588584","45.594432","741611"
"Peschadoires","Puy-de-Dôme","Auvergne-Rhône-Alpes","3.4903254","45.8427833","734459"
"Épierre","Savoie","Auvergne-Rhône-Alpes","6.292521","45.457027","741280"
"Chamousset","Savoie","Auvergne-Rhône-Alpes","6.2067432","45.5575744","741231"
"Chindrieux","Savoie","Auvergne-Rhône-Alpes","5.8468876","45.8034376","741116"
"Luc","Lozère","Occitanie","3.8915631","44.654092","734368"
"Saint-Maurice-de-Beynost","Ain","Auvergne-Rhône-Alpes","4.976986","45.827421","723536"
"Saint-Romain-le-Puy","Loire","Auvergne-Rhône-Alpes","4.1208275","45.5545543","726430"
"Rillieux-la-Pape","Rhône","Auvergne-Rhône-Alpes","4.875315","45.820264","723700"
"Sury-le-Comtal","Loire","Auvergne-Rhône-Alpes","4.1824904","45.5291194","726422"
"Servas","Ain","Auvergne-Rhône-Alpes","5.1681312","46.1306663","723791"
"Cessieu","Isère","Auvergne-Rhône-Alpes","5.3761179","45.5611596","723452"
"Polliat","Ain","Auvergne-Rhône-Alpes","5.1238268","46.24464","725846"
"Villefranche-sur-Saône","Rhône","Auvergne-Rhône-Alpes","4.72077","45.98450","721332"
"Collonges-au-Mont-d'Or","Rhône","Auvergne-Rhône-Alpes","4.8466136","45.8291102","721225"
"Saint-Victor-sur-Rhins","Loire","Auvergne-Rhône-Alpes","4.2810245","46.0024781","721043"
"Arc-et-Senans","Doubs","Bourgogne-Franche-Comté","5.7767843","47.0303516","718841"
"Albigny-sur-Saône","Rhône","Auvergne-Rhône-Alpes","4.832874","45.874921","721266"
"Montbarrey","Jura","Bourgogne-Franche-Comté","5.6366081","47.0359922","718866"
"Byans-sur-Doubs","Doubs","Bourgogne-Franche-Comté","5.8520589","47.1185334","718122"
"Saint-Vit","Doubs","Bourgogne-Franche-Comté","5.809057","47.183507","718320"
"Franois","Doubs","Bourgogne-Franche-Comté","5.937498","47.2273609","718304"
"Liesle","Doubs","Bourgogne-Franche-Comté","5.8208121","47.0587683","718130"
"Gilly-lès-Cîteaux","Côte-d'Or","Bourgogne-Franche-Comté","4.9715685","47.1755556","713511"
"Saint-Julien","Côte-d'Or","Bourgogne-Franche-Comté","5.1281864","47.4060132","713834"
"Brazey-en-Plaine","Côte-d'Or","Bourgogne-Franche-Comté","5.2121276","47.1314549","713644"
"Rivière-Drugeon","Doubs","Bourgogne-Franche-Comté","6.2133331","46.8701507","715144"
"Andelot-en-Montagne","Jura","Bourgogne-Franche-Comté","5.923584","46.8594671","715102"
"Bretenière","Côte-d'Or","Bourgogne-Franche-Comté","5.1045991","47.224035","713628"
"Gemeaux","Côte-d'Or","Bourgogne-Franche-Comté","5.1293074","47.478542","713842"
"Auxonne","Côte-d'Or","Bourgogne-Franche-Comté","5.377370","47.192663","713347"
"Beaune","Côte-d'Or","Bourgogne-Franche-Comté","4.848379","47.023053","713545"
"Saint-Léger-sur-Dheune","Saône-et-Loire","Bourgogne-Franche-Comté","4.6286039","46.8484526","694364"
"Coulanges-sur-Yonne","Yonne","Bourgogne-Franche-Comté","3.5472388","47.5270546","696831"
"Charité-sur-Loire","Nièvre","Bourgogne-Franche-Comté","3.023883","47.179914","696195"
"Laizy","Saône-et-Loire","Bourgogne-Franche-Comté","4.2069898","46.9085776","694596"
"Montchanin","Saône-et-Loire","Bourgogne-Franche-Comté","4.4814867","46.7592649","694307"
"Paris","Paris","Île-de-France","2.373520","48.844888","686006"
"Fourchambault","Nièvre","Bourgogne-Franche-Comté","3.0873673","47.0189684","696229"
"Digoin","Saône-et-Loire","Bourgogne-Franche-Comté","3.9876537","46.4851604","694695"
"Clamecy","Nièvre","Bourgogne-Franche-Comté","3.5207672","47.4666984","696807"
"Boigneville","Essonne","Île-de-France","2.3789793","48.342078","684407"
"Besançon","Doubs","Bourgogne-Franche-Comté","6.033910","47.240372","718015"
"Baume-les-Dames","Doubs","Bourgogne-Franche-Comté","6.359603","47.353937","718460"
"Lons-le-Saunier","Jura","Bourgogne-Franche-Comté","5.551108","46.668580","718239"
"Is-sur-Tille","Côte-d'Or","Bourgogne-Franche-Comté","5.129481","47.520454","713859"
"Besançon","Doubs","Bourgogne-Franche-Comté","6.022003","47.247019","718007"
"Saint-Amour","Jura","Bourgogne-Franche-Comté","5.3341853","46.4338244","718296"
"Mervans","Saône-et-Loire","Bourgogne-Franche-Comté","5.1794099","46.7988928","713701"
"Novillars","Doubs","Bourgogne-Franche-Comté","6.1327011","47.2839618","718411"
"Valdahon","Doubs","Bourgogne-Franche-Comté","6.3148621","47.1510452","718601"
"Poligny","Jura","Bourgogne-Franche-Comté","5.7001051","46.8443393","718189"
"Gevrey-Chambertin","Côte-d'Or","Bourgogne-Franche-Comté","4.999058","47.2274694","713503"
"Collonges-lès-Premières","Côte-d'Or","Bourgogne-Franche-Comté","5.2653478","47.2212533","713321"
"Bretigny","Côte-d'Or","Bourgogne-Franche-Comté","5.1105838","47.390044","712265"
"Nuits","Yonne","Bourgogne-Franche-Comté","4.211186","47.7291142","713156"
"Dijon","Côte-d'Or","Bourgogne-Franche-Comté","5.054872","47.322806","713008"
"Corgoloin","Côte-d'Or","Bourgogne-Franche-Comté","4.9171231","47.0841982","713537"
"Mâlain","Côte-d'Or","Bourgogne-Franche-Comté","4.8105362","47.3270025","713065"
"Aiserey","Côte-d'Or","Bourgogne-Franche-Comté","5.1582447","47.170501","713636"
"Dijon","Côte-d'Or","Bourgogne-Franche-Comté","5.027208","47.323370","713040"
"Genlis","Côte-d'Or","Bourgogne-Franche-Comté","5.223406","47.244579","713313"
"Porté-Puymorens","Pyrénées-Orientales","Occitanie","1.8248462","42.539136","611509"
"Portet-sur-Garonne","Haute-Garonne","Occitanie","1.389243","43.527904","611400"
"Ville-Dieu-du-Temple","Tarn-et-Garonne","Occitanie","1.2149646","44.0355186","611459"
"Vernet","Haute-Garonne","Occitanie","1.426079","43.433361","611392"
"Luzenac","Ariège","Occitanie","1.7531248","42.7642849","611558"
"Bagnères-de-Luchon","Haute-Garonne","Occitanie","0.5964686","42.7972746","611236"
"Saverdun","Ariège","Occitanie","1.570616","43.239357","611368"
"Saint-Pé-de-Bigorre","Hautes-Pyrénées","Occitanie","-0.1619763","43.1015768","671362"
"Coarraze","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-0.2416429","43.1818351","672139"
"Guéthary","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.6098615","43.4253491","673459"
"Saléchan","Hautes-Pyrénées","Occitanie","0.6312526","42.9633091","618710"
"Saubusse","Landes","Nouvelle-Aquitaine","-1.1901703","43.6603331","673251"
"Bayonne","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.470306","43.496801","673004"
"Laqueuille","Puy-de-Dôme","Auvergne-Rhône-Alpes","2.7046524","45.6468205","641274"
"Laroquebrou","Cantal","Auvergne-Rhône-Alpes","2.1929167","44.9641658","645135"
"Labenne","Landes","Nouvelle-Aquitaine","-1.4288712","43.5870509","673293"
"Lourdes","Hautes-Pyrénées","Occitanie","-0.042174","43.100370","671339"
"Vergigny","Yonne","Bourgogne-Franche-Comté","3.731036","47.981058","683318"
"Champs-sur-Yonne","Yonne","Bourgogne-Franche-Comté","3.6034756","47.7388182","683615"
"Étigny","Yonne","Bourgogne-Franche-Comté","3.2904186","48.1386835","683201"
"Champigny","Yonne","Bourgogne-Franche-Comté","3.1305718","48.3237418","683128"
"Gien","Loiret","Centre-Val de Loire","2.636205","47.699088","684290"
"Bourron-Marlotte","Seine-et-Marne","Île-de-France","2.6924552","48.3326884","684118"
"Champagne-sur-Seine","Seine-et-Marne","Île-de-France","2.799184","48.406531","682450"
"Avon","Seine-et-Marne","Île-de-France","2.726340","48.416371","682211"
"Saint-Mammès","Seine-et-Marne","Île-de-France","2.815930","48.382171","682294"
"Cesson","Seine-et-Marne","Île-de-France","2.59380","48.56563","682161"
"Tassin-la-Demi-Lune","Rhône","Auvergne-Rhône-Alpes","4.7484432","45.7684995","721522"
"Charbonnières-les-Bains","Rhône","Auvergne-Rhône-Alpes","4.735912","45.782142","721530"
"Saint-Romain-de-Popey","Rhône","Auvergne-Rhône-Alpes","4.5423351","45.8616053","721456"
"Couzon-au-Mont-d'Or","Rhône","Auvergne-Rhône-Alpes","4.8294786","45.8486737","721241"
"Tour-de-Salvagny","Rhône","Auvergne-Rhône-Alpes","4.7164921","45.7998818","721548"
"Civrieux-d'Azergues","Rhône","Auvergne-Rhône-Alpes","4.7182413","45.8591831","721746"
"Charbonnières-les-Bains","Rhône","Auvergne-Rhône-Alpes","4.7541523","45.7774345","721704"
"Morteau","Doubs","Bourgogne-Franche-Comté","6.604653","47.053727","718619"
"Amplepuis","Rhône","Auvergne-Rhône-Alpes","4.326844","45.970982","721035"
"Grigny","Rhône","Auvergne-Rhône-Alpes","4.796144","45.6072601","722298"
"Saint-Jean-Pied-de-Port","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.2380129","43.1679394","673723"
"Halsou","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.4279003","43.3781301","673640"
"Villefranque","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.4564514","43.4313998","673616"
"Louhossoa","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.3624626","43.3057578","673673"
"Ustaritz","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.4489654","43.4048083","673624"
"Coudray-Montceaux","Essonne","Île-de-France","2.479586","48.5735652","681627"
"Vigneux-sur-Seine","Essonne","Île-de-France","2.41446","48.70816","681304"
"Montgeron","Essonne","Île-de-France","2.462224","48.708094","682104"
"Maisse","Essonne","Île-de-France","2.393120","48.393040","681486"
"Évry","Essonne","Île-de-France","2.45209","48.63442","681361"
"Buzet-sur-Tarn","Haute-Garonne","Occitanie","1.6198753","43.7512472","615351"
"Alet-les-Bains","Aude","Occitanie","2.2518325","42.9974445","615187"
"Vindrac-Alayrac","Tarn","Occitanie","1.900229","44.067189","613802"
"Lisle-sur-Tarn","Tarn","Occitanie","1.80823","43.85639","615310"
"Verzeille","Aude","Occitanie","2.3212626","43.1304633","615138"
"Carcassonne","Aude","Occitanie","2.351824","43.218029","615286"
"Naucelle","Aveyron","Occitanie","2.363504","44.1854793","615732"
"Mazamet","Tarn","Occitanie","2.3747346","43.4977847","615542"
"Gaillac","Tarn","Occitanie","1.894855","43.905969","615252"
"Lavaur","Tarn","Occitanie","1.813146","43.703479","615476"
"Colomiers","Haute-Garonne","Occitanie","1.3141157","43.6163055","611921"
"Saint-Christophe-Vallon","Aveyron","Occitanie","2.4077585","44.464619","613257"
"Mérenvielle","Haute-Garonne","Occitanie","1.1503303","43.6365051","611814"
"Escalquens","Haute-Garonne","Occitanie","1.5422774","43.5170958","611707"
"Grisolles","Tarn-et-Garonne","Occitanie","1.3023292","43.8269619","611673"
"Bagnac-sur-Célé","Lot","Occitanie","2.1602503","44.6652105","613604"
"Dégagnac","Lot","Occitanie","1.3400861","44.6534974","613174"
"Pibrac","Haute-Garonne","Occitanie","1.289237","43.621364","611830"
"Saint-Jean-de-Verges","Ariège","Occitanie","1.608059","43.0128587","611624"
"Rodez","Aveyron","Occitanie","2.580560","44.362633","613422"
"Saint-Cyprien","Dordogne","Nouvelle-Aquitaine","1.0434666","44.8632733","595777"
"Issoudun","Indre","Centre-Val de Loire","1.985834","46.948763","597062"
"Saint-Prest","Eure-et-Loir","Centre-Val de Loire","1.5228734","48.4827197","394171"
"Saint-Geniès-de-Malgoirès","Gard","Occitanie","4.2149416","43.9501684","775361"
"Saint-Rome-de-Cernon","Aveyron","Occitanie","2.9673744","44.013981","783431"
"Clermont-Ferrand","Puy-de-Dôme","Auvergne-Rhône-Alpes","3.134163","45.766947","782607"
"Saint-Césaire-de-Gauzignan","Gard","Occitanie","4.3276399","43.8133863","775072"
"Aigues-Mortes","Gard","Occitanie","4.1912102","43.5709008","775858"
"Bédarieux","Hérault","Occitanie","3.1495688","43.6086972","781609"
"Fondamente","Aveyron","Occitanie","3.1097221","43.8685236","781534"
"Magalas","Hérault","Occitanie","3.2295415","43.4675998","781666"
"Générac","Gard","Occitanie","4.3434742","43.7324379","775791"
"Béziers","Hérault","Occitanie","3.218873","43.336330","781005"
"Saint-Saturnin-lès-Avignon","Vaucluse","Provence-Alpes-Côte d'Azur","4.9352794","43.9531783","765438"
"Cabanasse","Pyrénées-Orientales","Occitanie","2.1131379","42.5020902","784793"
"Saint-Vallier","Drôme","Auvergne-Rhône-Alpes","4.814390","45.186395","761130"
"Bollène","Vaucluse","Provence-Alpes-Côte d'Azur","4.707908","44.271525","764357"
"Cannes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","6.9816599","43.5515285","757757"
"Briançon","Hautes-Alpes","Provence-Alpes-Côte d'Azur","6.633007","44.889853","763607"
"Avignon","Vaucluse","Provence-Alpes-Côte d'Azur","4.873943","43.932635","765412"
"Saillans","Drôme","Auvergne-Rhône-Alpes","5.1940397","44.6944365","761817"
"Tullins","Isère","Auvergne-Rhône-Alpes","5.492194","45.300996","761759"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","6.9345425","45.996415","746867"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","6.8472858","45.9125671","746776"
"Roche-sur-Foron","Haute-Savoie","Auvergne-Rhône-Alpes","6.303885","46.067560","746305"
"Saint-Cassien","Isère","Auvergne-Rhône-Alpes","5.5346895","45.3688217","747279"
"Saint-Claude","Jura","Bourgogne-Franche-Comté","5.8603471","46.3899539","743633"
"Ambérieu-en-Bugey","Ain","Auvergne-Rhône-Alpes","5.342388","45.954008","743716"
"Annecy","Haute-Savoie","Auvergne-Rhône-Alpes","6.1232736","45.9395239","746206"
"Annemasse","Haute-Savoie","Auvergne-Rhône-Alpes","6.236520","46.199222","745497"
"Magland","Haute-Savoie","Auvergne-Rhône-Alpes","6.6215075","46.016945","746412"
"Rumilly","Haute-Savoie","Auvergne-Rhône-Alpes","5.947938","45.862989","746149"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.380407","43.302666","751008"
"Saint-Chamas","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.0402963","43.5511577","753202"
"Sisteron","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur","5.9465888","44.1902025","751206"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.4413152","43.2905165","751719"
"Moirans","Isère","Auvergne-Rhône-Alpes","5.565170","45.324154","747691"
"Gardanne","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.463332","43.455992","751420"
"Jarrie","Isère","Auvergne-Rhône-Alpes","5.7424487","45.0854543","747535"
"Goncelin","Isère","Auvergne-Rhône-Alpes","5.974136","45.341941","747477"
"Voiron","Isère","Auvergne-Rhône-Alpes","5.595054","45.364037","747287"
"Vif","Isère","Auvergne-Rhône-Alpes","5.6854542","45.0476532","747576"
"Villefranche-sur-Mer","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.314129","43.707061","756361"
