"Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Code_UIC"
"Champagne-sur-Oise","Val-d'Oise","Île-de-France","2.24156","49.13573","276519"
"Ermont","Val-d'Oise","Île-de-France","2.25880","48.99682","276592"
"Parmain","Val-d'Oise","Île-de-France","2.20976","49.11482","276527"
"Butry-sur-Oise","Val-d'Oise","Île-de-France","2.20238","49.09182","276535"
"Viarmes","Val-d'Oise","Île-de-France","2.36838","49.11692","276568"
"Templemars","Nord","Hauts-de-France","3.051975","50.5793139","286526"
"Marquette-lez-Lille","Nord","Hauts-de-France","3.0510262","50.6724025","287169"
"Lille","Nord","Hauts-de-France","3.069870","50.636577","286005"
"Ennevelin","Nord","Hauts-de-France","3.1586612","50.5492981","287276"
"Tressin","Nord","Hauts-de-France","3.1895634","50.6118114","286740"
"Cysoing","Nord","Hauts-de-France","3.2098913","50.5620393","286781"
"Genech","Nord","Hauts-de-France","3.2205033","50.5306894","286807"
"Wavrin","Nord","Hauts-de-France","2.93672","50.57443","286419"
"Paris","Paris","Île-de-France","2.32862","48.87478","281899"
"Paris","Paris","Île-de-France","2.35835","48.87986","281873"
"Saint-Just-en-Chaussée","Oise","Hauts-de-France","2.42949","49.50364","313270"
"Flavy-le-Martel","Aisne","Hauts-de-France","3.1905076","49.7187375","296871"
"Clacy-et-Thierret","Aisne","Hauts-de-France","3.5766816","49.5439229","296178"
"Saint-Quentin","Aisne","Hauts-de-France","3.2970089","49.8400482","296004"
"Marle","Aisne","Hauts-de-France","3.7695801","49.747192","296095"
"Busigny","Nord","Hauts-de-France","3.4461174","50.0397236","296244"
"Versigny","Aisne","Hauts-de-France","3.4335692","49.6574494","296608"
"Gannes","Oise","Hauts-de-France","2.4370074","49.5723315","313262"
"Fère","Aisne","Hauts-de-France","3.36981","49.65802","296632"
"Chauny","Aisne","Hauts-de-France","3.22354","49.61119","296616"
"Grande-Synthe","Nord","Hauts-de-France","2.3133547","51.0026884","281311"
"Bruges","Gironde","Nouvelle-Aquitaine","-0.609445","44.8870124","581736"
"Beautiran","Gironde","Nouvelle-Aquitaine","-0.45017","44.701041","582700"
"Libourne","Gironde","Nouvelle-Aquitaine","-0.236344","44.915888","584052"
"Arcachon","Gironde","Nouvelle-Aquitaine","-1.16523","44.659009","582668"
"Lalinde","Dordogne","Nouvelle-Aquitaine","0.7036282","44.836574","584425"
