"RangVariations","RangNbVoy","Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Variations","Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","score_pmr13","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"80","76","732008","Vichy","1191888","1239031","-0.038048281277869564","Vichy","Allier","Auvergne-Rhône-Alpes","3.430448","46.126979","7.64","8.42","7.93","7.19","8.35","","129","24","34","2","5","","","","","","","","","","","","","","","","","","","","","","true","96.3","1","0","0","0"
"81","37","182014","Colmar","3500569","3646561","-0.04003552936588747","Colmar","Haut-Rhin","Grand Est","7.346967","48.073201","7.28","7.54","7.54","6.5","7.33","4.01","89","137","26","12","6","3","39","23","13","21","35.9","25.3","9.81","9.79","11.4","7.74","0","1","20","40","0","0","0","18","14","6","true","96.4","","","",""
"82","18","223263","Lille Europe","7133768","7447028","-0.04206510301827789","Lille","Nord","Hauts-de-France","3.075796","50.639224","6.54","7.47","7.77","6.96","7.36","","698","372","532","17","9","1","38","5","29","27","5.94","25.7","20.4","18.7","16.3","12.6","0","0","4","22","32","6","6","12","17","1","true","96.1","1","3","1","1"
"83","94","673202","Dax","824634","861063","-0.042307008894819545","Dax","Landes","Nouvelle-Aquitaine","-1.050301","43.720472","7.47","7.69","7.4","6.76","7.09","","155","62","89","0","5","","","","","","","","","","","","","","","","","","","","","","true","95.6","0","0","0","1"
"84","20","756056","Nice","6859865","7164233","-0.04248438039354666","Nice","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.261904","43.704556","6.41","7.89","7.36","6.59","6.57","1.11","309","136","186","7","7","6","33","20","9","32","14.4","28.7","14","13.7","13.8","15.4","1","2","13","51","0","1","20","2","8","2","true","92.5","1","0","0","1"
"85","56","281006","Dunkerque","1652728","1727625","-0.043352579408147025","Dunkerque","Nord","Hauts-de-France","2.368961","51.030470","7.72","8.08","7.72","7.81","8.29","","105","67","20","1","6","","","","","","","","","","","","","","","","","","","","","","true","94.2","","","",""
"86","23","713040","Dijon","5796935","6060661","-0.04351439554200441","Dijon","Côte-d'Or","Bourgogne-Franche-Comté","5.027208","47.323370","7.00","7.83","7.51","7.19","7.25","2.17","570","180","167","14","8","5","23","23","23","26","19.5","25.4","10.3","14.6","15.6","14.4","0","0","9","32","0","3","36","6","11","3","true","94.1","1","0","1","0"
"87","22","411017","Rouen Rive Droite","5846082","6118355","-0.04450101375287965","Rouen","Seine-Maritime","Normandie","1.094087","49.448764","6.74","7.00","7.45","6.25","7.69","2.93","275","144","111","10","7","4","36","26","14","19","17.8","29.2","15.9","11.9","14.3","10.9","1","0","15","33","0","2","30","6","12","2","true","89.1","1","0","1","0"
"88","98","615286","Carcassonne","779949","816645","-0.044935069705930974","Carcassonne","Aude","Occitanie","2.351824","43.218029","6.76","7.83","6.69","7.3","5.86","","112","21","34","0","4","","","","","","","","","","","","","","","","","","","","","","true","96.8","","","",""
"89","78","586008","Agen","1106478","1158742","-0.045104087018508","Agen","Lot-et-Garonne","Nouvelle-Aquitaine","0.620932","44.208311","6.64","7.68","7.42","6.52","7.75","","168","76","70","6","6","","","","","","","","","","","","","","","","","","","","","","true","98.5","1","0","0","0"
"90","101","597005","Châteauroux","731376","766504","-0.04582885412209199","Châteauroux","Indre","Centre-Val de Loire","1.699536","46.809737","7.04","8.09","7.27","7.33","7.71","","79","17","33","6","4","","","","","","","","","","","","","","","","","","","","","","true","98.1","","","",""
"91","62","543017","Les Aubrais Orléans","1594515","1672168","-0.04643851574722157","Fleury-les-Aubrais","Loiret","Centre-Val de Loire","1.906629","47.926801","7.46","7.8","7.51","7.63","7.52","","141","29","30","2","5","","","","","","","","","","","","","","","","","","","","","","true","93.1","1","0","0","0"
"92","51","718007","Besançon-Viotte","2019431","2118245","-0.046648994804661406","Besançon","Doubs","Bourgogne-Franche-Comté","6.022003","47.247019","7.91","8.07","7.94","8.03","7.78","2.34","134","120","26","0","5","4","40","21","21","15","0","0","0","0","0","0","0","1","32","36","0","2","0","9","15","5","true","94.1","1","0","0","0"
"93","108","281071","Calais-Fréthun","637324","669769","-0.048442074804895416","Fréthun","Pas-de-Calais","Hauts-de-France","1.810891","50.901221","7.39","8.37","8.42","7.32","7.85","","11","10","17","0","3","","","","","","","","","","","","","","","","","","","","","","true","95.9","1","0","0","0"
"94","100","672006","Pau","739761","780885","-0.05266332430511535","Pau","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-0.369626","43.291762","7.46","8.00","7.7","7.4","7.62","","151","48","57","4","5","","","","","","","","","","","","","","","","","","","","","","true","96.9","","","",""
"95","54","485003","La Rochelle","1785041","1885458","-0.05325867773241302","Rochelle","Charente-Maritime","Nouvelle-Aquitaine","-1.145305","46.15269","7.14","8.07","7.6","7.51","7.36","","199","95","136","9","7","","","","","","","","","","","","","","","","","","","","","","true","94.6","0","2","1","0"
"96","35","741009","Chambéry Challes les Eaux","3604056","3807875","-0.0535256540721531","Chambéry","Savoie","Auvergne-Rhône-Alpes","5.919547","45.571302","7.64","7.58","7.71","7.33","7.82","","193","100","109","4","7","","","","","","","","","","","","","","","","","","","","","","true","93.8","1","0","0","0"
"97","44","444000","Caen","3043126","3223446","-0.055940133633384896","Caen","Calvados","Normandie","-0.347613","49.176354","7.01","7.85","6.79","6.62","7.01","3.84","314","127","94","10","6","4","45","17","12","22","19.2","24.7","16","11.4","16.3","11.9","0","0","12","14","0","1","30","20","21","2","true","","","","",""
"98","36","734004","Clermont Ferrand","3505900","3714623","-0.05618955140265917","Clermont-Ferrand","Puy-de-Dôme","Auvergne-Rhône-Alpes","3.100543","45.778945","6.92","7.56","7.3","6.36","7.87","","357","71","64","9","6","","","","","","","","","","","","","","","","","","","","","","true","92.6","","","",""
"99","118","571216","Vendôme Villiers sur Loir","422891","448472","-0.057040350345172054","Vendôme","Loir-et-Cher","Centre-Val de Loire","1.021143","47.821937","7.19","8.28","7.29","7.53","6.61","","23","16","17","7","4","","","","","","","","","","","","","","","","","","","","","","true","91.7","1","0","1","0"
"100","111","755447","Les Arcs Draguignan","599533","637030","-0.05886221998963942","Arcs","Var","Provence-Alpes-Côte d'Azur","6.482498","43.455524","7.1","7.66","7.65","7.12","7.66","","63","19","52","4","4","","","","","","","","","","","","","","","","","","","","","","true","92.1","","","",""
"101","19","192039","Metz","6955138","7390514","-0.05891011098822085","Metz","Moselle","Grand Est","6.176593","49.109545","6.42","8.02","7.75","7.24","7.93","3.24","261","201","63","1","6","4","41","17","19","19","28.2","59.5","33.8","27.4","29.4","21.4","0","1","18","43","0","1","13","14","9","1","true","94.3","1","3","1","0"
"102","97","696005","Nevers","782776","832510","-0.05973982294506973","Nevers","Nièvre","Bourgogne-Franche-Comté","3.150743","46.987282","7.38","7.69","7.31","7.11","7.45","","165","88","34","2","6","","","","","","","","","","","","","","","","","","","","","","false","","","","",""
"103","105","696328","Moulins sur Allier","687306","731265","-0.06011363869459088","Moulins","Allier","Auvergne-Rhône-Alpes","3.338842","46.561346","7.44","7.92","7.78","7.2","7.92","","73","21","16","0","3","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"104","117","671008","Tarbes","458373","489110","-0.06284271431784261","Tarbes","Hautes-Pyrénées","Occitanie","0.069415","43.239955","7.21","8.23","7.3","7.52","7.71","","79","47","28","1","4","","","","","","","","","","","","","","","","","","","","","","true","","1","0","0","1"
"105","79","172007","Charlevilles Mézières","1091493","1165004","-0.06309935416530758","Charleville-Mézières","Ardennes","Grand Est","4.724952","49.767915","7.51","8.23","7.61","7.85","7.89","","52","38","35","1","4","","","","","","","","","","","","","","","","","","","","","","true","97.2","1","0","0","0"
"106","115","444877","Cherbourg","532207","568669","-0.06411814253986062","Cherbourg-en-Cotentin","Manche","Normandie","-1.621515","49.633505","6.83","7.91","7.57","6.97","7.75","2.22","35","46","10","4","4","2","57","6","16","20","6.84","23.3","19.1","18.9","16","15.9","0","5","11","30","0","5","0","23","22","3","true","98.4","","","",""
"107","24","111849","Marne la Vallée Chessy","5607932","5999068","-0.06519946098293936","Chessy","Seine-et-Marne","Île-de-France","2.782720","48.869856","","","","","","3.44","502","448","269","15","9","0","12","2","34","52","0.38","2.68","4.4","4.02","2.05","1.69","0","0","8","31","20","6","0","34","0","0","true","93.6","1","3","1","1"
"108","6","723197","Lyon Part Dieu","29876563","31993238","-0.06616007420067953","Lyon","Rhône","Auvergne-Rhône-Alpes","4.859355","45.760559","6.65","7.3","7.51","6.56","7.26","2.87","2864","1260","1253","48","13","2","34","12","22","31","10.4","34.6","17.6","15.8","13.7","7.89","0","1","17","20","26","7","15","5","8","2","true","94.3","0","0","0","1"
"109","121","741728","Moutiers Salins Brides les Bains","341382","366290","-0.06800076442163314","Moûtiers","Savoie","Auvergne-Rhône-Alpes","6.531425","45.486344","7.31","7.79","7.83","6.92","6.96","","13","7","18","1","4","","","","","","","","","","","","","","","","","","","","","","true","96.8","","","",""
"110","61","413013","Le Havre","1600943","1729425","-0.07429174436590197","Havre","Seine-Maritime","Normandie","0.125677","49.492996","7.15","7.82","7.00","7.03","7.67","","53","49","49","2","4","","","","","","","","","","","","","","","","","","","","","","true","97.8","1","2","0","0"
"111","59","757674","Antibes","1622742","1760924","-0.07847130256615277","Antibes","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.119498","43.585784","6.82","6.68","5.49","5.63","6.43","","165","35","108","4","6","","","","","","","","","","","","","","","","","","","","","","true","90.5","","","",""
"112","86","184002","Belfort","1052682","1149902","-0.0845463352529172","Belfort","Territoire de Belfort","Bourgogne-Franche-Comté","6.853956","47.633284","6.83","7.41","6.87","6.73","7.6","","47","44","10","0","3","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"113","92","576207","Bourges","851513","930856","-0.08523659943106131","Bourges","Cher","Centre-Val de Loire","2.394255","47.094145","7.27","7.41","6.97","6.35","7.76","","121","37","21","2","5","","","","","","","","","","","","","","","","","","","","","","true","97","","","",""
"114","125","677005","Hendaye","300282","328688","-0.08642238232001169","Hendaye","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.781724","43.353132","7.75","8.55","8.1","7.91","8.04","2.52","25","15","20","0","3","5","5","9","14","67","9.28","12.1","9.44","12.6","13.5","43.1","3","2","34","33","0","5","0","9","12","2","true","","1","0","0","0"
"115","40","319012","Aix en Provence-TGV","3297316","3611440","-0.0869802627206876","Aix-en-Provence","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.317534","43.455237","7.66","8.00","7.97","7.64","7.95","8.86","397","160","302","8","7","","","","","","2.23","17.6","18.6","17","18.9","25.7","0","7","20","0","0","6","0","33","34","0","true","88.2","1","0","1","1"
"116","69","725002","Chalon sur Saône","1264996","1389893","-0.08986087418240109","Chalon-sur-Saône","Saône-et-Loire","Bourgogne-Franche-Comté","4.843454","46.781612","7.37","8.02","7.19","7.5","7.66","","159","27","16","1","5","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"117","120","725705","Mâcon Loché TGV","407629","447954","-0.09002040388075562","Mâcon","Saône-et-Loire","Bourgogne-Franche-Comté","4.778876","46.282884","7.12","7.91","7.53","7.28","7.34","","26","30","41","5","4","","","","","","","","","","","","","","","","","","","","","","true","99.3","","","",""
"118","122","673400","Biarritz","337741","388748","-0.13120839206889812","Biarritz","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.545915","43.459397","7.14","7.84","7.54","7.23","7.35","2.05","63","28","42","0","3","5","12","10","13","60","14.1","19.6","9.14","14.3","7.82","35.1","1","2","31","9","0","10","0","14","30","3","true","94.6","","","",""
"119","104","673004","Bayonne","712900","820806","-0.13146346396103342","Bayonne","Pyrénées-Atlantiques","Nouvelle-Aquitaine","-1.470306","43.496801","7.27","7.19","7.64","6.75","8.31","2.41","138","28","65","3","5","2","22","17","17","42","14.5","23","14.9","11","17.1","19.4","1","0","22","18","0","2","0","12","43","2","true","93.1","","","",""
"120","34","318964","Avignon TGV","3678716","4244310","-0.13325935193235178","Avignon","Vaucluse","Provence-Alpes-Côte d'Azur","4.786079","43.921586","7.00","8.29","7.98","7.47","7.72","6.32","496","166","411","20","8","","","","","","5.8","21.1","16.5","16","16.3","24.2","1","4","16","2","0","7","0","19","51","0","true","95.5","1","3","0","1"
"121","42","571240","Saint-Pierre des Corps","3064214","3557561","-0.13867562636311787","Saint-Pierre-des-Corps","Indre-et-Loire","Centre-Val de Loire","0.723550","47.386099","7.72","7.5","7.02","7.1","7.63","","789","289","257","38","10","","","","","","","","","","","","","","","","","","","","","","true","97.9","0","0","0","2"
"122","106","694109","Le Creusot TGV (Monceau Montchanin)","679127","800697","-0.1518302179226349","Écuisses","Saône-et-Loire","Bourgogne-Franche-Comté","4.499513","46.765343","7.23","8.34","7.66","7.31","7.41","","55","35","61","2","4","","","","","","","","","","","","","","","","","","","","","","true","97.4","","","",""
"123","113","142109","Lorraine TGV","549055","679082","-0.19147466727140464","Louvigny","Moselle","Grand Est","6.169838","48.947773","7.15","7.84","6.99","6.82","6.55","10.14","158","68","92","4","6","","","","","","3.22","15.3","14.7","19.2","19.7","27.9","0","2","19","0","0","3","0","47","29","0","true","95.2","","","",""
"124","93","171926","Champagne Ardenne TGV","831609","1034315","-0.19598091490503378","Bezannes","Marne","Grand Est","3.994632","49.214806","7.78","8.22","8.08","7.67","8.25","","174","71","83","0","5","","","","","","","","","","","","","","","","","","","","","","true","94.4","1","0","1","1"
"125","123","313882","TGV Haute-Picardie","324016","411348","-0.21230685453679124","Ablaincourt-Pressoir","Somme","Hauts-de-France","2.831900","49.859182","7.8","8.5","8.11","7.63","8.19","","89","50","57","1","4","","","","","","","","","","","","","","","","","","","","","","true","97.2","1","0","1","0"
"126","48","763029","Valence TGV Rhône-Alpes Sud","2553424","3290657","-0.22403823917229904","Alixan","Drôme","Auvergne-Rhône-Alpes","4.978703","44.991545","7.36","8.12","8.01","7.22","7.68","8.51","539","176","223","9","7","1","9","4","46","39","3.21","19.7","17.8","20.3","19.4","19.6","0","5","9","4","0","4","0","38","38","1","true","88.8","1","0","1","0"
"127","110","300863","Besançon Franche-Comté TGV","606090","826650","-0.26681183088368715","Auxons","Doubs","Bourgogne-Franche-Comté","5.953195095062256","47.307361058531725","7.54","8.77","8.04","8.1","7.91","6.11","83","34","49","3","4","0","16","15","43","25","10.1","20.7","19.6","18.5","14.5","16.7","0","3","5","16","0","6","0","44","26","0","true","92.8","1","0","1","0"
