"Code_UIC","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil"
"192039","261","201","63","1"
"381830","2","0","1","0"
"574137","8","0","0","0"
"271528","0","0","0","0"
"742007","0","1","1","0"
"694620","1","0","0","0"
"763508","0","0","0","0"
"393892","0","6","2","0"
"611038","9","4","0","0"
"481002","1298","478","539","33"
"684126","0","0","0","0"
"592725","0","0","0","0"
"485300","84","34","49","5"
"113746","0","0","0","0"
"684274","0","0","0","0"
"113217","0","28","0","0"
"672725","10","1","3","0"
"381145","0","0","0","0"
"547026","0","0","0","0"
"271031","1","0","0","0"
"271163","0","0","0","0"
"575001","449","181","173","13"
"393322","0","0","0","0"
"715003","8","1","0","0"
"481283","9","1","5","0"
"111278","0","0","0","0"
"471300","163","53","21","2"
"171009","165","75","62","3"
"172270","5","83","4","0"
"681338","0","0","0","0"
"726802","71","26","18","0"
"485144","30","13","7","1"
"761650","10","0","0","0"
"118158","9","1","1","0"
"474635","0","0","0","0"
"415885","0","0","0","0"
"396408","45","18","20","0"
"545509","0","0","0","0"
"722652","2","1","0","0"
"393223","0","0","0","0"
"491001","145","44","40","5"
"726000","168","79","83","5"
"276170","0","0","0","0"
"545202","1","0","0","0"
"281444","14","33","1","1"
"381426","2","0","0","0"
"394148","0","0","0","0"
"342337","4","0","2","2"
"386417","5","23","0","0"
"481838","25","5","9","0"
"682187","1","0","0","0"
"172254","11","35","16","0"
"214056","29","24","8","2"
"683003","19","9","5","0"
"382341","0","0","0","0"
"594333","20","1","12","2"
"296442","24","8","0","1"
"381822","0","0","0","0"
"611004","1930","420","519","25"
"543074","10","0","1","0"
"381236","0","0","0","0"
"381806","12","0","0","0"
"594499","3","0","1","0"
"113712","0","0","0","0"
"763029","539","176","223","9"
"645440","0","0","0","0"
"721332","25","30","6","2"
"393413","0","0","0","0"
"313437","0","0","0","0"
"276220","0","0","0","0"
"471508","34","7","3","0"
"271460","3","2","0","0"
"586008","168","76","70","6"
"592667","4","0","1","0"
"615195","2","0","0","0"
"182238","0","0","0","0"
"743716","32","9","13","0"
"313874","78","74","19","0"
"481192","48","13","5","0"
"484006","676","243","214","31"
"746008","121","76","79","3"
"757674","165","35","108","4"
"444539","28","17","7","0"
"286146","18","10","0","2"
"271411","0","2","0","0"
"713347","0","0","3","0"
"683789","0","1","0","0"
"381046","0","0","0","0"
"576439","0","0","0","0"
"394411","0","0","0","0"
"444067","26","6","4","0"
"184002","47","44","10","0"
"300822","115","40","53","1"
"592485","0","5","0","0"
"745000","174","58","74","3"
"393116","0","0","0","0"
"193250","2","0","0","0"
"328328","1","0","0","0"
"682203","1","0","0","0"
"415893","0","0","0","0"
"276485","0","0","0","0"
"545178","0","0","0","0"
"545194","2","0","0","0"
"281071","11","10","17","0"
"276063","0","0","0","0"
"682161","0","0","0","0"
"713578","39","1","4","0"
"276725","0","0","0","1"
"276030","0","0","0","0"
"576298","3","2","2","0"
"597005","79","17","33","6"
"575142","57","13","21","1"
"142000","52","7","10","0"
"381228","0","0","0","0"
"444877","35","46","10","4"
"571687","9","112","1","2"
"391565","0","0","0","0"
"734004","357","71","64","9"
"381129","3","4","0","0"
"276691","17","6","3","0"
