Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00292;Meyrargues;Meyrargues;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;MEYRARGUES GARE;1;1;Meyrargues;13650;Meyrargues;13-059;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.5395738;43.6440076;0087751370;MEY;c;1;;GARES C PACA;;43.6440076, 5.5395738
00325;Le Buet;Le Buet;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Etablissement Mont Blanc;LE BUET GARE;1;1;Le Buet;74660;Vallorcine;74-290;Haute-Savoie;Auvergne-Rhône-Alpes;6.9204119;46.018805;0087746883;BVQ;c;1;;GARES C RHONE ALPES;;46.018805, 6.9204119
00303;Clelles - Mens;Clelles - Mens;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;CLELLES MENS GARE;1;1;Clelles - Mens;38930;Clelles;38-113;Isère;Auvergne-Rhône-Alpes;5.6050622;44.8272443;0087747626;CMS;c;1;;GARES C RHONE ALPES;;44.8272443, 5.6050622
00324;Grenoble;Grenoble;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;GRENOBLE GARE;1;1;Grenoble;38000;Grenoble;38-185;Isère;Auvergne-Rhône-Alpes;5.714584;45.191493;0087747006;GRE;a;3;;GARE GRENOBLE;;45.191493, 5.714584
00156;L'Argentière les Écrins;L'Argentière les Écrins;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;L ARGENTIERE LA BESSEE GARE;1;1;L'Argentière les Écrins;05120;Argentière-la-Bessée;05-006;Hautes-Alpes;Provence-Alpes-Côte d'Azur;6.5564162;44.7909802;0087763557;LEE;c;1;;GARES C PACA;;44.7909802, 6.5564162
00157;Mont-Dauphin - Guillestre;Mont-Dauphin - Guillestre;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;MONTDAUPHIN GUILLESTRE GARE;1;1;Mont-Dauphin - Guillestre;05600;Eygliers;05-052;Hautes-Alpes;Provence-Alpes-Côte d'Azur;6.6156027;44.6746283;0087763508;MOG;c;1;;GARES C PACA;;44.6746283, 6.6156027
00096;Fons - Saint-Mamert;Fons - Saint-Mamert;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;FONS ST MAMERT GARE;1;1;Fons - Saint-Mamert;30730;Fons;30-112;Gard;Occitanie;4.2066687;43.9073195;0087775379;FMS;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.9073195, 4.2066687
00150;Pierrelatte;Pierrelatte;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;PIERRELATTE GARE;1;1;Pierrelatte;26700;Pierrelatte;26-235;Drôme;Auvergne-Rhône-Alpes;4.703783;44.374719;0087764308;PRL;b;1;;Gare Pierrelatte;;44.374719, 4.703783
00123;Saint-Aunès;Saint-Aunès;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;SAINT AUNES GARE;1;1;Saint-Aunès;34130;Saint-Aunès;34-240;Hérault;Occitanie;3.9628994;43.6354383;0087773465;XAU;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.6354383, 3.9628994
00151;Donzère;Donzère;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;DONZERE GARE;1;1;Donzère;26290;Donzère;26-116;Drôme;Auvergne-Rhône-Alpes;4.7046262;44.4433646;0087764290;DOE;c;1;;GARES C RHONE ALPES;;44.4433646, 4.7046262
00106;Villefort;Villefort;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;VILLEFORT GARE;1;1;Villefort;48800;Villefort;48-198;Lozère;Occitanie;3.9240146;44.4395099;0087775197;VLF;c;1;;GARES C LANGUEDOC ROUSSILLON;;44.4395099, 3.9240146
00102;La Levade;La Levade;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;LA LEVADE GARE;1;1;La Levade;30110;Grand-Combe;30-132;Gard;Occitanie;4.0102736;44.228602;0087775247;LLE;c;1;;GARES C LANGUEDOC ROUSSILLON;;44.228602, 4.0102736
00105;Génolhac;Génolhac;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;GENOLHAC GARE;1;1;Génolhac;30450;Génolhac;30-130;Gard;Occitanie;3.9516407;44.3471626;0087775213;GNC;c;1;;GARES C LANGUEDOC ROUSSILLON;;44.3471626, 3.9516407
00112;Uchaud;Uchaud;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;UCHAUD GARE;1;1;Uchaud;30620;Uchaud;30-333;Gard;Occitanie;4.2683101;43.7583991;0087775106;UCD;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.7583991, 4.2683101
00053;Saint-Georges-de-Luzençon;Saint-Georges-de-Luzençon;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Midi Pyrénées TER;SAINT GEORGES DE LUZENCON GARE;1;1;Saint-Georges-de-Luzençon;12100;Saint-Georges-de-Luzençon;12-225;Aveyron;Occitanie;2.983784;44.066553;0087783423;SDU;c;1;;GARES C MIDI PYRENEES;;44.066553, 2.983784
00032;Saint-Féliu-d'Avall;Saint-Féliu-d'Avall;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;SAINT FELIU D AVALL GARE;1;1;Saint-Féliu-d'Avall;66170;Saint-Féliu-d'Avall;66-174;Pyrénées-Orientales;Occitanie;2.7378217;42.6772874;0087784520;FDL;c;1;;GARES C LANGUEDOC ROUSSILLON;;42.6772874, 2.7378217
00051;Tournemire - Roquefort;Tournemire - Roquefort;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Midi Pyrénées TER;TOURNEMIRE ROQUEFORT GARE;1;1;Tournemire - Roquefort;12250;Tournemire;12-282;Aveyron;Occitanie;3.0166261;43.9698002;0087783456;TEO;c;1;;GARES C MIDI PYRENEES;;43.9698002, 3.0166261
00079;Port-la-Nouvelle;Port-la-Nouvelle;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;PORT LA NOUVELLE GARE;1;1;Port-la-Nouvelle;11210;Port-la-Nouvelle;11-266;Aude;Occitanie;3.0388188;43.0199342;0087781062;PLN;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.0199342, 3.0388188
00060;Aumont-Aubrac;Aumont-Aubrac;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;AUMONT AUBRAC GARE;1;1;Aumont-Aubrac;48130;Peyre en Aubrac;48-009;Lozère;Occitanie;3.2835489;44.7181699;0087783266;AAU;c;1;;GARES C LANGUEDOC ROUSSILLON;;44.7181699, 3.2835489
00039;Rivesaltes;Rivesaltes;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;RIVESALTES GARE;1;1;Rivesaltes;66600;Rivesaltes;66-164;Pyrénées-Orientales;Occitanie;2.86789;42.7664405;0087784173;RVT;c;1;;GARES C LANGUEDOC ROUSSILLON;;42.7664405, 2.86789
00023;Joncet;Joncet;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;JONCET GARE;1;1;Joncet;66193;Serdinya;66-193;Pyrénées-Orientales;Occitanie;2.3111464;42.5615245;0087784710;JCT;c;1;;GARES C LANGUEDOC ROUSSILLON;;42.5615245, 2.3111464
00085;Le Cailar;Le Cailar;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;LE CAILAR GARE;1;1;Le Cailar;30740;Cailar;30-059;Gard;Occitanie;4.2354236;43.6834141;0087775825;LCI;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.6834141, 4.2354236
00086;Vauvert;Vauvert;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;VAUVERT GARE;1;1;Vauvert;30600;Vauvert;30-341;Gard;Occitanie;4.270165;43.6950375;0087775817;VAT;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.6950375, 4.270165
00076;Coursan;Coursan;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;COURSAN GARE;1;1;Coursan;11110;Coursan;11-106;Aude;Occitanie;3.0510465;43.23369;0087781161;KOS;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.23369, 3.0510465
00276;Sainte-Marthe en Provence;Sainte-Marthe en Provence;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;SAINTE MARTHE EN PROVENCE GARE;1;1;Sainte-Marthe en Provence;13014;Marseille;13-055;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.390412;43.3392414;0087751842;SAH;c;1;;GARES C PACA;;43.3392414, 5.390412
00245;La Pauline Hyères;La Pauline Hyères;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;LA PAULINE HYERES GARE;1;1;La Pauline Hyères;83400;Garde;83-062;Var;Provence-Alpes-Côte d'Azur;6.0351027;43.1364769;0087755314;LPH;c;1;;GARES C PACA;;43.1364769, 6.0351027
00287;L'Estaque;L'Estaque;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;L ESTAQUE GARE;1;1;L'Estaque;13016;Marseille;13-055;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.3213598;43.363628;0087751602;LES;c;1;;GARES C PACA;;43.363628, 5.3213598
00263;Martigues;Martigues;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;MARTIGUES GARE;1;1;Martigues;13500;Martigues;13-056;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.0257804;43.3929209;0087753509;MTG;c;1;;GARES C PACA;;43.3929209, 5.0257804
00244;Solliès-Pont;Solliès-Pont;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;SOLLIES PONT GARE;1;1;Solliès-Pont;83210;Solliès-Pont;83-130;Var;Provence-Alpes-Côte d'Azur;6.0464158;43.1907805;0087755330;SIP;c;1;;GARES C PACA;;43.1907805, 6.0464158
00279;La Ciotat;La Ciotat;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;LA CIOTAT GARE;1;1;La Ciotat;13600;Ciotat;13-028;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.632647;43.199593;0087751784;LTV;b;1;;Gare La Ciotat;;43.199593, 5.632647
00274;Miramas;Miramas;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;MIRAMAS GARE;1;1;Miramas;13140;Miramas;13-063;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.000264;43.580704;0087753004;MAS;b;2;;GARE MIRAMAS;;43.580704, 5.000264
00254;Sénas;Sénas;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;SENAS GARE;1;1;Sénas;13560;Sénas;13-105;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.0733645;43.7409571;0087753715;SUT;c;1;;GARES C PACA;;43.7409571, 5.0733645
