UIC;Gare enquêtée;Gpe intermodalités usagers;Répartition;Année
182014;Colmar;Taxis;0;2017
;Paris Bercy;Bus/Car/Navette;3;2012
784009;Perpignan;Autres voitures ( location, autopartage);1;2016
182063;Mulhouse;Autres voitures ( location, autopartage);1;2014
673400;Biarritz;Autres voitures ( location, autopartage);2;2016
271494;Aéroport Charles de Gaulle 2 TGV;Métro / RER;42;2013
391003;Paris Montparnasse 1 et 2 + Vaugirard;Marche;10;2012
755009;Toulon;Autres voitures ( location, autopartage);1;2014
182014;Colmar;Autres voitures ( location, autopartage);1;2017
773002;Montpellier Saint-Roch;Voiture conducteur;3;2015
775007;Nîmes;Bus/Car/Navette;21;2014
775007;Nîmes;Vélo;4;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;Taxis;5;2012
686006;Paris Gare de Lyon;Voiture conducteur;4;2012
751008;Marseille Saint-Charles;Vélo;0;2013
723197;Lyon Part Dieu;Métro / RER;26;2011
747006;Grenoble;Voiture conducteur;5;2015
686006;Paris Gare de Lyon;Marche;8;2012
753657;Arles;Voiture passager;19;2014
718007;Besançon-Viotte;Vélo;5;2012
722025;Lyon Perrache;Tramway;13;2011
747006;Grenoble;Tramway;44;2015
111849;Marne la Vallée Chessy;Bus/Car/Navette;8;2013
300822;Belfort Montbéliard TGV;Voiture passager;26;2015
319012;Aix en Provence-TGV;Voiture conducteur;33;2015
384008;Paris St Lazare;Voiture conducteur;0;2013
286005;Lille Flandres;Voiture passager;5;2013
318964;Avignon TGV;Voiture conducteur;19;2015
318964;Avignon TGV;Voiture passager;51;2015
393702;Massy TGV;Marche;12;2013
318964;Avignon TGV;Vélo;0;2015
396002;Le Mans;Vélo;3;2015
192039;Metz;Autres voitures ( location, autopartage);1;2016
611004;Toulouse Matabiau;2 roues motorisées;0;2014
583005;Angoulême;Bus/Car/Navette;24;2012
583005;Angoulême;Voiture passager;37;2012
673400;Biarritz;Bus/Car/Navette;31;2016
673400;Biarritz;Voiture passager;30;2016
677005;Hendaye;Voiture passager;12;2016
583005;Angoulême;Marche;16;2012
677005;Hendaye;Taxis;5;2016
673004;Bayonne;Vélo;2;2013
300863;Besançon Franche-Comté TGV;Bus/Car/Navette;5;2015
756056;Nice;Autres voitures ( location, autopartage);2;2014
773002;Montpellier Saint-Roch;Bus/Car/Navette;4;2015
755009;Toulon;Bus/Car/Navette;23;2014
757625;Cannes;Voiture passager;14;2015
756056;Nice;Voiture conducteur;2;2014
756056;Nice;Voiture passager;8;2014
755009;Toulon;Vélo;1;2014
756056;Nice;Marche;51;2014
753657;Arles;Vélo;6;2014
171009;Reims;Autres voitures ( location, autopartage);3;2016
141002;Nancy;Autres voitures ( location, autopartage);0;2014
113001;Paris Est;2 roues motorisées;0;2012
113001;Paris Est;Bus/Car/Navette;2;2012
118000;Troyes;Voiture conducteur;20;2015
118000;Troyes;Voiture passager;32;2015
171009;Reims;Marche;44;2016
;Paris Bercy;2 roues motorisées;0;2012
;Paris Bercy;Voiture passager;3;2012
763029;Valence TGV Rhône-Alpes Sud;Autres voitures ( location, autopartage);5;2015
773002;Montpellier Saint-Roch;Autres voitures ( location, autopartage);1;2015
751008;Marseille Saint-Charles;2 roues motorisées;1;2013
762906;Lyon Saint Exupery TGV;Voiture passager;23;2016
751008;Marseille Saint-Charles;Métro / RER;42;2013
762906;Lyon Saint Exupery TGV;Taxis;3;2016
757625;Cannes;Voiture conducteur;3;2015
723197;Lyon Part Dieu;Taxis;7;2011
755009;Toulon;Marche;30;2014
756056;Nice;Tramway;20;2014
300822;Belfort Montbéliard TGV;Autres voitures ( location, autopartage);9;2015
271494;Aéroport Charles de Gaulle 2 TGV;Bus/Car/Navette;0;2013
271007;Paris Nord;Autres voitures ( location, autopartage);0;2012
313874;Amiens;Autres voitures ( location, autopartage);0;2015
300863;Besançon Franche-Comté TGV;Taxis;6;2015
223263;Lille Europe;Voiture conducteur;12;2013
300822;Belfort Montbéliard TGV;Marche;2;2015
318964;Avignon TGV;Bus/Car/Navette;16;2015
271007;Paris Nord;Bus/Car/Navette;5;2012
313874;Amiens;Voiture passager;7;2015
677005;Hendaye;Autres voitures ( location, autopartage);2;2016
718007;Besançon-Viotte;Voiture passager;15;2012
722025;Lyon Perrache;2 roues motorisées;0;2011
722025;Lyon Perrache;Voiture conducteur;6;2011
673004;Bayonne;Voiture conducteur;12;2013
722025;Lyon Perrache;Métro / RER;29;2011
686006;Paris Gare de Lyon;Taxis;5;2012
722025;Lyon Perrache;Marche;33;2011
673400;Biarritz;Vélo;3;2016
713040;Dijon;Marche;32;2015
484006;Angers Saint Laud;Autres voitures ( location, autopartage);3;2015
547000;Paris Austerlitz;Voiture conducteur;2;2013
547000;Paris Austerlitz;Métro / RER;68;2013
471003;Rennes;2 roues motorisées;0;2014
471003;Rennes;Voiture conducteur;6;2014
478404;Laval;Voiture conducteur;25;2011
481002;Nantes;Voiture passager;5;2014
547000;Paris Austerlitz;Vélo;2;2013
471003;Rennes;Métro / RER;41;2014
471003;Rennes;Vélo;3;2014
411017;Rouen Rive Droite;Autres voitures ( location, autopartage);0;2014
345025;Lens;Autres voitures ( location, autopartage);2;2016
411017;Rouen Rive Droite;Bus/Car/Navette;15;2014
384008;Paris St Lazare;2 roues motorisées;0;2013
411017;Rouen Rive Droite;Taxis;2;2014
345025;Lens;Voiture conducteur;12;2016
384008;Paris St Lazare;Vélo;0;2013
396002;Le Mans;Marche;24;2015
396002;Le Mans;Taxis;1;2015
345025;Lens;Taxis;2;2016
182063;Mulhouse;Voiture passager;15;2014
223263;Lille Europe;Métro / RER;32;2013
171009;Reims;Voiture conducteur;11;2016
182014;Colmar;Bus/Car/Navette;20;2017
182014;Colmar;Voiture passager;14;2017
171009;Reims;Voiture passager;7;2016
223263;Lille Europe;Tramway;6;2013
212027;Strasbourg;Marche;27;2016
182063;Mulhouse;Marche;27;2014
171009;Reims;Vélo;1;2016
773002;Montpellier Saint-Roch;Voiture passager;11;2015
775007;Nîmes;2 roues motorisées;1;2014
775007;Nîmes;Voiture passager;18;2014
784009;Perpignan;Vélo;1;2016
571000;Tours;Autres voitures ( location, autopartage);0;2016
581009;Bordeaux Saint-Jean;Bus/Car/Navette;19;2014
611004;Toulouse Matabiau;Voiture passager;7;2014
611004;Toulouse Matabiau;Métro / RER;55;2014
583005;Angoulême;Voiture conducteur;15;2012
571000;Tours;Voiture conducteur;6;2016
611004;Toulouse Matabiau;Taxis;1;2014
575001;Poitiers;Marche;28;2015
571000;Tours;Tramway;19;2016
673004;Bayonne;Taxis;2;2013
118000;Troyes;Autres voitures ( location, autopartage);0;2015
111849;Marne la Vallée Chessy;Marche;31;2013
118000;Troyes;Bus/Car/Navette;14;2015
141002;Nancy;Marche;44;2014
;Paris Bercy;Métro / RER;76;2012
300863;Besançon Franche-Comté TGV;Autres voitures ( location, autopartage);3;2015
271494;Aéroport Charles de Gaulle 2 TGV;Voiture conducteur;25;2013
300863;Besançon Franche-Comté TGV;Voiture conducteur;44;2015
300863;Besançon Franche-Comté TGV;Voiture passager;26;2015
212027;Strasbourg;Voiture passager;6;2016
286005;Lille Flandres;Marche;34;2013
223263;Lille Europe;Marche;22;2013
223263;Lille Europe;Vélo;1;2013
318964;Avignon TGV;Taxis;7;2015
212027;Strasbourg;Taxis;2;2016
547000;Paris Austerlitz;Autres voitures ( location, autopartage);1;2013
581009;Bordeaux Saint-Jean;2 roues motorisées;0;2014
581009;Bordeaux Saint-Jean;Tramway;29;2014
575001;Poitiers;Voiture conducteur;18;2015
673004;Bayonne;2 roues motorisées;1;2013
575001;Poitiers;Bus/Car/Navette;24;2015
547000;Paris Austerlitz;Taxis;3;2013
583005;Angoulême;Taxis;4;2012
673004;Bayonne;Marche;18;2013
571000;Tours;Marche;47;2016
444000;Caen;Autres voitures ( location, autopartage);0;2012
411017;Rouen Rive Droite;Voiture passager;12;2014
476002;Lorient;2 roues motorisées;1;2010
481002;Nantes;Voiture conducteur;20;2014
444000;Caen;Voiture conducteur;20;2012
478404;Laval;Bus/Car/Navette;11;2011
444877;Cherbourg;Taxis;5;2015
481002;Nantes;Tramway;30;2014
471003;Rennes;Taxis;5;2014
444000;Caen;Tramway;30;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Vélo;0;2012
384008;Paris St Lazare;Voiture passager;0;2013
384008;Paris St Lazare;Métro / RER;70;2013
393702;Massy TGV;Bus/Car/Navette;20;2013
411017;Rouen Rive Droite;Tramway;30;2014
396002;Le Mans;Bus/Car/Navette;4;2015
393702;Massy TGV;Métro / RER;22;2013
345025;Lens;Voiture passager;18;2016
393702;Massy TGV;Taxis;10;2013
345025;Lens;Vélo;1;2016
142109;Lorraine TGV;Voiture passager;29;2017
192039;Metz;Bus/Car/Navette;18;2016
192039;Metz;Voiture passager;9;2016
142109;Lorraine TGV;Taxis;3;2017
182063;Mulhouse;Vélo;6;2014
192039;Metz;Marche;43;2016
141002;Nancy;Taxis;1;2014
171009;Reims;Taxis;1;2016
141002;Nancy;Vélo;3;2014
192039;Metz;Vélo;1;2016
784009;Perpignan;Voiture passager;27;2016
775007;Nîmes;Voiture conducteur;11;2014
784009;Perpignan;Marche;32;2016
784009;Perpignan;Taxis;3;2016
775007;Nîmes;Taxis;3;2014
762906;Lyon Saint Exupery TGV;Autres voitures ( location, autopartage);7;2016
763029;Valence TGV Rhône-Alpes Sud;2 roues motorisées;0;2015
763029;Valence TGV Rhône-Alpes Sud;Voiture conducteur;38;2015
773002;Montpellier Saint-Roch;Marche;31;2015
773002;Montpellier Saint-Roch;Vélo;2;2015
755009;Toulon;Voiture conducteur;10;2014
757625;Cannes;Bus/Car/Navette;20;2015
755009;Toulon;Voiture passager;30;2014
756056;Nice;Bus/Car/Navette;13;2014
757625;Cannes;Taxis;1;2015
747006;Grenoble;Autres voitures ( location, autopartage);1;2015
751008;Marseille Saint-Charles;Voiture conducteur;5;2013
723197;Lyon Part Dieu;Bus/Car/Navette;17;2011
751008;Marseille Saint-Charles;Taxis;4;2013
755009;Toulon;2 roues motorisées;1;2014
723197;Lyon Part Dieu;Tramway;15;2011
753657;Arles;Bus/Car/Navette;11;2014
747006;Grenoble;Marche;33;2015
747006;Grenoble;Taxis;3;2015
753657;Arles;Taxis;2;2014
686006;Paris Gare de Lyon;Voiture passager;3;2012
718007;Besançon-Viotte;Voiture conducteur;9;2012
718007;Besançon-Viotte;Bus/Car/Navette;32;2012
686006;Paris Gare de Lyon;Métro / RER;72;2012
722025;Lyon Perrache;Bus/Car/Navette;11;2011
722025;Lyon Perrache;Voiture passager;5;2011
677005;Hendaye;Bus/Car/Navette;34;2016
673400;Biarritz;Taxis;10;2016
677005;Hendaye;Vélo;2;2016
713040;Dijon;Vélo;3;2015
142109;Lorraine TGV;Autres voitures ( location, autopartage);2;2017
111849;Marne la Vallée Chessy;Voiture conducteur;34;2013
286005;Lille Flandres;Voiture conducteur;4;2013
142109;Lorraine TGV;Bus/Car/Navette;19;2017
318964;Avignon TGV;2 roues motorisées;1;2015
223263;Lille Europe;Bus/Car/Navette;4;2013
212027;Strasbourg;Voiture conducteur;4;2016
223263;Lille Europe;Voiture passager;17;2013
345025;Lens;Bus/Car/Navette;33;2016
286005;Lille Flandres;Vélo;1;2013
313874;Amiens;Vélo;2;2015
345025;Lens;Marche;32;2016
686006;Paris Gare de Lyon;2 roues motorisées;0;2012
611004;Toulouse Matabiau;Bus/Car/Navette;12;2014
677005;Hendaye;2 roues motorisées;3;2016
713040;Dijon;2 roues motorisées;0;2015
673004;Bayonne;Voiture passager;43;2013
713040;Dijon;Bus/Car/Navette;9;2015
673400;Biarritz;Marche;9;2016
677005;Hendaye;Marche;33;2016
713040;Dijon;Tramway;36;2015
713040;Dijon;Taxis;3;2015
476002;Lorient;Voiture conducteur;9;2010
484006;Angers Saint Laud;Tramway;15;2015
484006;Angers Saint Laud;Marche;31;2015
571000;Tours;2 roues motorisées;0;2016
571000;Tours;Bus/Car/Navette;12;2016
478404;Laval;Voiture passager;29;2011
476002;Lorient;Marche;27;2010
476002;Lorient;Taxis;4;2010
481002;Nantes;Taxis;5;2014
478404;Laval;Vélo;2;2011
444877;Cherbourg;Autres voitures ( location, autopartage);5;2015
575001;Poitiers;Autres voitures ( location, autopartage);3;2015
476002;Lorient;Autres voitures ( location, autopartage);1;2010
581009;Bordeaux Saint-Jean;Voiture conducteur;5;2014
581009;Bordeaux Saint-Jean;Voiture passager;25;2014
581009;Bordeaux Saint-Jean;Marche;20;2014
575001;Poitiers;Voiture passager;23;2015
581009;Bordeaux Saint-Jean;Vélo;0;2014
583005;Angoulême;Vélo;0;2012
575001;Poitiers;Vélo;0;2015
757625;Cannes;Autres voitures ( location, autopartage);0;2015
762906;Lyon Saint Exupery TGV;Bus/Car/Navette;5;2016
762906;Lyon Saint Exupery TGV;Tramway;22;2016
762906;Lyon Saint Exupery TGV;Marche;1;2016
757625;Cannes;2 roues motorisées;0;2015
753657;Arles;2 roues motorisées;0;2014
753657;Arles;Voiture conducteur;21;2014
756056;Nice;2 roues motorisées;1;2014
757625;Cannes;Marche;62;2015
753657;Arles;Marche;41;2014
182014;Colmar;2 roues motorisées;0;2017
182014;Colmar;Voiture conducteur;18;2017
286005;Lille Flandres;Tramway;4;2013
271007;Paris Nord;Taxis;3;2012
212027;Strasbourg;Vélo;9;2016
271007;Paris Nord;Vélo;1;2012
113001;Paris Est;Taxis;2;2012
118000;Troyes;Taxis;0;2015
118000;Troyes;Vélo;1;2015
;Paris Bercy;Vélo;1;2012
581009;Bordeaux Saint-Jean;Autres voitures ( location, autopartage);1;2014
611004;Toulouse Matabiau;Autres voitures ( location, autopartage);1;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;Bus/Car/Navette;8;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Voiture passager;2;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Métro / RER;74;2012
318964;Avignon TGV;Autres voitures ( location, autopartage);4;2015
212027;Strasbourg;Autres voitures ( location, autopartage);1;2016
762906;Lyon Saint Exupery TGV;Voiture conducteur;38;2016
763029;Valence TGV Rhône-Alpes Sud;Marche;4;2015
763029;Valence TGV Rhône-Alpes Sud;Taxis;4;2015
763029;Valence TGV Rhône-Alpes Sud;Vélo;1;2015
784009;Perpignan;2 roues motorisées;1;2016
775007;Nîmes;Marche;40;2014
319012;Aix en Provence-TGV;2 roues motorisées;0;2015
319012;Aix en Provence-TGV;Bus/Car/Navette;20;2015
111849;Marne la Vallée Chessy;Métro / RER;20;2013
300863;Besançon Franche-Comté TGV;Marche;16;2015
393702;Massy TGV;Voiture conducteur;36;2013
444877;Cherbourg;Voiture conducteur;23;2015
396002;Le Mans;2 roues motorisées;1;2015
444000;Caen;Bus/Car/Navette;12;2012
444877;Cherbourg;Vélo;3;2015
471003;Rennes;Marche;22;2014
751008;Marseille Saint-Charles;Bus/Car/Navette;4;2013
718007;Besançon-Viotte;2 roues motorisées;0;2012
751008;Marseille Saint-Charles;Marche;35;2013
747006;Grenoble;2 roues motorisées;0;2015
747006;Grenoble;Bus/Car/Navette;2;2015
713040;Dijon;Voiture conducteur;6;2015
713040;Dijon;Voiture passager;11;2015
723197;Lyon Part Dieu;Marche;20;2011
722025;Lyon Perrache;Taxis;2;2011
747006;Grenoble;Vélo;5;2015
